"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093073","2000-02","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","2.3",",W","0.0","W","0.0","1,W","13",",W","5",",W","0",",W","0","1,W","28","1,W","3","1,W","0","1,W","0","1,W","","","","","20000219","+,1,W","","","20000210",",,W","20000227","+,1,W","-16.7","1,W,19,+","10.9",",,W,10,","10.0","1,W,27,+","3170.2","W","571.9","1,W","41.3",",,,W","","","","","","","-2.09","1,W","4.65","1,,,W","-8.84","1,,,W","","","160",",W","150",",W","10.7",",W","13.0",",W"
"USW00093073","2000-03","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","2.6",",W","0.0","W","0.0","1,W","16",",W","9",",W","0",",W","0","1,W","30","1,W","2","1,W","0","1,W","0","1,W","","","","","20000319",",1,W","","","20000312",",,W","20000327",",1,W","-12.8","1,W,19,","7.9",",,W,12,","14.4","1,W,27,","3710.0","W","539.8","1,W","47.0",",,,W","","","","","","","0.34","1,W","6.77","1,,,W","-6.09","1,,,W","","","180",",W","170",",W","13.0",",W","16.1",",W"
"USW00093073","2000-04","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","3.2",",W","0.0","W","0.0",",W","8",",W","5",",W","0",",W","0",",W","23",",W","0",",W","1",",W","0",",W","","","","","20000403",",,W","","","20000422",",,W","20000427",",,W","-7.8",",W,03,","16.0",",,W,22,","21.7",",W,27,","4069.7","W","359.7",",W","37.5",",,,W","","","","","","","6.34",",W","14.47",",,,W","-1.78",",,,W","","","200",",W","180",",W","13.9",",W","19.2",",W"
"USW00093073","2000-05","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","3.4",",W","0.0","W","0.0",",W","10",",W","6",",W","0",",W","0",",W","7",",W","0",",W","17",",W","0",",W","","","","","20000513",",,W","","","20000507",",,W","20000530",",,W","-6.1",",W,13,","6.6",",,W,07,","28.9",",W,30,","4295.8","W","226.1",",W","32.7",",,,W","","","","","","","11.04",",W","19.96",",,,W","2.12",",,,W","","","190",",W","200",",W","14.8",",W","26.4",",W"
"USW00093073","2000-06","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","3.1",",W","0.0","W","0.0",",W","8",",W","3",",W","0",",W","0",",W","1",",W","0",",W","28",",W","0",",W","","","","","20000617",",,W","","","20000619",",,W","20000607",",,W","0.0",",W,17,","11.4",",,W,19,","29.4",",W,07,","4407.0","W","111.2",",W","27.4",",,,W","","","","","","","14.63",",W","24.29",",,,W","4.96",",,,W","","","170",",W","190",",W","14.3",",W","18.3",",W"
"USW00093073","2000-07","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","3.2",",W","15.9","W","15.9",",W","6",",W","6",",W","0",",W","0",",W","0",",W","0",",W","31",",W","0",",W","","","","","20000721",",,W","","","20000716",",,W","20000714",",,W","4.4",",W,21,","17.8",",,W,16,","31.7",",W,14,","14.0","W","14.0",",W","48.7",",,,W","","","","","","","18.40",",W","28.41",",,,W","8.38",",,,W","","","150",",W","110",",W","12.5",",W","19.2",",W"
"USW00093073","2000-08","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","2.9",",W","33.5","W","17.6",",W","17",",W","6",",W","0",",W","0",",W","0",",W","0",",W","30",",W","0",",W","","","","","20000823",",,W","","","20000828",",,W","20000801",",,W","5.0",",W,23,","8.6",",,W,28,","31.7",",W,01,","52.9","W","38.9",",W","42.4",",,,W","","","","","","","17.65",",W","26.51",",,,W","8.78",",,,W","","","180",",W","160",",W","13.4",",W","17.0",",W"
"USW00093073","2000-09","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","3.1",",W","34.1","W","0.6",",W","13",",W","6",",W","0",",W","0",",W","4",",W","0",",W","19",",W","0",",W","","","","","20000925",",,W","","","20000921",",,W","20000914",",,W","-5.6",",W,25,","17.8",",,W,21,","29.4",",W,14,","211.2","W","158.3",",W","48.8",",,,W","","","","","","","13.08",",W","22.20",",,,W","3.95",",,,W","","","180",",W","250",",W","14.3",",W","18.3",",W"
"USW00093073","2000-10","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","2.9",",W","34.1","W","0.0",",W","7",",W","3",",W","0",",W","0",",W","23",",W","0",",W","2",",W","0",",W","","","","","20001015",",,W","","","20001024",",,W","20001002",",,W","-6.7",",W,15,","3.6",",,W,24,","22.8",",W,02,","564.2","W","353.0",",W","12.0",",,,W","","","","","","","6.95",",W","15.47",",,,W","-1.58",",,,W","","","170",",W","180",",W","14.3",",W","17.4",",W"
"USW00093073","2000-11","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","2.1",",W","34.1","W","0.0",",W","10",",W","7",",W","0",",W","5",",W","30",",W","13",",W","0",",W","0",",W","","","","","20001118",",,W","","","20001114",",,W","20001104",",,W","-23.3",",W,18,","9.9",",,W,14,","9.4",",W,04,","1301.1","W","736.9",",W","34.4",",,,W","","","","","","","-6.23",",W","0.53",",,,W","-13.00",",,,W","","","340",",W","340",",W","11.6",",W","14.8",",W"
