"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00012883","1949-05","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","559.8","0","216.9",",0","8",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","","","","","19490513",",,0","19490531","+,,0","19490531","+,,0","","","19490530",",,0","19490524",",,0","15.6",",0,13,","0",",,0,31,+","0",",,0,31,+","31.8",",,0,30,","35.0",",0,24,","101.9","0","0.0",",0","63.7",",,,0","","","0",",,,0","25.33",",0","31.45",",,,0","19.21",",,,0","","","","","","","","","",""
"USW00012883","1949-06","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","803.7","0","243.9",",0","18",",0","11",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","16",",0","","","","","19490603",",,0","19490630","+,,0","19490630","+,,0","","","19490617",",,0","19490628","+,,0","17.2",",0,03,","0",",,0,30,+","0",",,0,30,+","34.5",",,0,17,","33.9",",0,28,+","101.9","0","0.0",",0","239.1",",,,0","","","0",",,,0","26.46",",0","31.78",",,,0","21.15",",,,0","","","","","","","","","",""
"USW00012883","1949-07","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1087.6","0","283.9",",0","14",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","22",",0","","","","","19490731","+,,0","19490731","+,,0","19490731","+,,0","21","","19490717",",,0","19490730",",,0","21.1",",0,31,+","0",",,0,31,+","0",",,0,31,+","57.4",",,0,17,","35.0",",0,30,","0.0","0","0.0",",0","162.3",",,,0","","","0",",,,0","27.49",",0","32.32",",,,0","22.66",",,,0","","","","","","","","","",""
"USW00012883","1949-08","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1353.7","0","266.1",",0","15",",0","12",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","","","","","19490812",",,0","19490831","+,,0","19490831","+,,0","","","19490827",",,0","19490816",",,0","20.6",",0,12,","0",",,0,31,+","0",",,0,31,+","152.9",",,0,27,","34.4",",0,16,","0.0","0","0.0",",0","303.0",",,,0","","","0",",,,0","26.92",",0","31.22",",,,0","22.62",",,,0","","","","","","","","","",""
"USW00012883","1949-09","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1611.8","0","258.1",",0","11","1,0","6","1,0","2","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","12",",0","","","","","19490929","+,,0","19490930","+,,0","19490930","+,,0","","","19490928",",1,0","19490915","+,,0","21.1",",0,29,+","0",",,0,30,+","0",",,0,30,+","40.1","1,,0,28,","34.4",",0,15,+","0.0","0","0.0",",0","117.4","1,,,0","","","0",",,,0","26.94",",0","31.19",",,,0","22.69",",,,0","","","","","","","","","",""
"USW00012883","1949-10","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1821.3","0","209.5",",0","10",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","","","19491024","+,,0","19491031","+,,0","19491031","+,,0","","","19491005",",,0","19491006",",,0","18.9",",0,24,+","0",",,0,31,+","0",",,0,31,+","37.3",",,0,05,","31.7",",0,06,","0.0","0","0.0",",0","75.7",",,,0","","","0",",,,0","25.09",",0","29.14",",,,0","21.05",",,,0","","","","","","","","","",""
"USW00012883","1949-11","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1849.0","0","27.7",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","","","","","19491126",",,0","19491130","+,,0","19491130","+,,0","","","19491114",",,0","19491109",",,0","6.1",",0,26,","0",",,0,30,+","0",",,0,30,+","13.2",",,0,14,","28.3",",0,09,","54.8","0","54.8",",0","25.2",",,,0","","","0",",,,0","17.43",",0","22.73",",,,0","12.13",",,,0","","","","","","","","","",""
"USW00012883","1949-12","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1886.6","0","37.6",",0","6",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","","","","","19491224",",,0","19491231","+,,0","19491231","+,,0","","","19491225",",,0","19491222",",,0","7.2",",0,24,","0",",,0,31,+","0",",,0,31,+","124.0",",,0,25,","27.2",",0,22,","83.6","0","28.8",",0","132.4",",,,0","","","0",",,,0","18.62",",0","23.44",",,,0","13.80",",,,0","","","","","","","","","",""
"USW00012883","1950-01","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","69.9","0","69.9",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","","","","","19500108",",,0","19500131","+,,0","19500131","+,,0","","","19500107",",,0","19500119",",,0","13.3",",0,08,","0",",,0,31,+","0",",,0,31,+","3.0",",,0,07,","28.3",",0,19,","85.6","0","2.0",",0","3.0",",,,0","","","0",",,,0","20.53",",0","25.46",",,,0","15.59",",,,0","","","","","","","","","",""
"USW00012883","1950-02","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","113.1","0","43.2","2,0","3",",0","3",",0","0",",0","0","1,0","0",",0","0","1,0","0","1,0","0","1,0","22","1,0","0","1,0","","","","","19500218","+,1,0","19500228","+,1,0","19500228","+,,0","","","19500210",",,0","19500214",",1,0","5.6","1,0,18,+","0","1,,0,28,+","0",",,0,28,+","5.8",",,0,10,","28.9","1,0,14,","114.2","0","28.6","1,0","15.2",",,,0","","","0",",,,0","18.83","2,0","24.41","1,,,0","13.26","1,,,0","","","","","","","","","",""
"USW00012883","1950-03","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","176.2","0","63.1",",0","11",",0","10",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","","","","","19500331",",,0","19500331","+,,0","19500331","+,,0","","","19500328",",,0","19500327",",,0","5.0",",0,31,","0",",,0,31,+","0",",,0,31,+","21.6",",,0,28,","31.1",",0,27,","154.7","0","40.5",",0","84.7",",,,0","","","0",",,,0","19.06",",0","24.81",",,,0","13.31",",,,0","","","","","","","","","",""
"USW00012883","1950-04","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","249.1","0","72.9",",0","3",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","2",",0","","","","","19500407",",,0","19500430","+,,0","19500430","+,,0","","","19500404",",,0","19500428","+,,0","4.4",",0,07,","0",",,0,30,+","0",",,0,30,+","66.0",",,0,04,","32.2",",0,28,+","188.8","0","34.1",",0","81.5",",,,0","","","0",",,,0","19.63",",0","25.87",",,,0","13.38",",,,0","","","","","","","","","",""
"USW00012883","1950-05","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","468.6","0","219.5",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","9",",0","","","","","19500519","+,,0","19500531","+,,0","19500531","+,,0","","","19500522",",,0","19500527",",,0","17.8",",0,19,+","0",",,0,31,+","0",",,0,31,+","24.6",",,0,22,","34.4",",0,27,","188.8","0","0.0",",0","72.9",",,,0","","","0",",,,0","25.41",",0","30.80",",,,0","20.02",",,,0","","","","","","","","","",""
"USW00012883","1950-06","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","743.7","0","275.1",",0","16",",0","12",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","21",",0","","","","","19500615","+,,0","19500630","+,,0","19500630","+,,0","","","19500607",",,0","19500626",",,0","20.0",",0,15,+","0",",,0,30,+","0",",,0,30,+","45.5",",,0,07,","36.1",",0,26,","188.8","0","0.0",",0","174.6",",,,0","","","0",",,,0","27.50",",0","32.93",",,,0","22.08",",,,0","","","","","","","","","",""
"USW00012883","1950-07","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1006.9","0","263.2",",0","18",",0","11",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","21",",0","","","","","19500702",",,0","19500731","+,,0","19500731","+,,0","","","19500715",",,0","19500717",",,0","19.4",",0,02,","0",",,0,31,+","0",",,0,31,+","26.2",",,0,15,","33.9",",0,17,","0.0","0","0.0",",0","134.3",",,,0","","","0",",,,0","26.82",",0","31.66",",,,0","21.99",",,,0","","","","","","","","","",""
"USW00012883","1950-08","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1285.2","0","278.3",",0","16",",0","10",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","","","","","19500813","+,,0","19500831","+,,0","19500831","+,,0","","","19500812",",,0","19500822",",,0","21.1",",0,13,+","0",",,0,31,+","0",",,0,31,+","22.4",",,0,12,","35.0",",0,22,","0.0","0","0.0",",0","98.8",",,,0","","","0",",,,0","27.31",",0","32.10",",,,0","22.52",",,,0","","","","","","","","","",""
"USW00012883","1950-09","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1522.0","0","236.8",",0","12",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","8",",0","","","","","19500921",",,0","19500930","+,,0","19500930","+,,0","","","19500905",",,0","19500914",",,0","19.4",",0,21,","0",",,0,30,+","0",",,0,30,+","84.8",",,0,05,","34.4",",0,14,","0.0","0","0.0",",0","227.7",",,,0","","","0",",,,0","26.23",",0","30.49",",,,0","21.96",",,,0","","","","","","","","","",""
"USW00012883","1950-10","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1706.5","0","184.5",",0","9",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","","","19501031","+,,0","19501031","+,,0","19501031","+,,0","","","19501016",",,0","19501011","+,,0","17.8",",0,31,+","0",",,0,31,+","0",",,0,31,+","25.7",",,0,16,","31.1",",0,11,+","0.0","0","0.0",",0","103.2",",,,0","","","0",",,,0","24.28",",0","28.45",",,,0","20.11",",,,0","","","","","","","","","",""
"USW00012883","1950-11","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1757.3","0","50.8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","21",",0","0",",0","","","","","19501126",",,0","19501130","+,,0","19501130","+,,0","","","19501115",",,0","19501103",",,0","-1.1",",0,26,","0",",,0,30,+","0",",,0,30,+","0.8",",,0,15,","28.9",",0,03,","75.5","0","75.5",",0","2.0",",,,0","","","0",",,,0","17.51",",0","22.84",",,,0","12.18",",,,0","","","","","","","","","",""
"USW00012883","1950-12","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1762.5","0","5.2",",0","10",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0",",0","","","","","19501219","+,,0","19501231","+,,0","19501231","+,,0","","","19501203",",,0","19501229",",,0","1.7",",0,19,+","0",",,0,31,+","0",",,0,31,+","45.7",",,0,03,","26.1",",0,29,","197.1","0","121.6",",0","115.2",",,,0","","","0",",,,0","14.58",",0","19.94",",,,0","9.21",",,,0","","","","","","","","","",""
"USW00012883","1951-01","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","18.4","0","18.4",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","20",",0","0",",0","","","","","19510109",",,0","19510131","+,,0","19510131","+,,0","","","19510125",",,0","19510104",",,0","0.0",",0,09,","0",",,0,31,+","0",",,0,31,+","3.0",",,0,25,","26.7",",0,04,","284.0","0","86.9",",0","6.8",",,,0","","","0",",,,0","16.12",",0","21.81",",,,0","10.43",",,,0","","","","","","","","","",""
"USW00012883","1951-02","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","33.1","0","14.7",",0","4",",0","3",",0","1",",0","0",",0","0",",0","0",",0","2",",0","0",",0","21",",0","0",",0","","","","","19510203",",,0","19510228","+,,0","19510228","+,,0","","","19510202",",,0","19510228",",,0","-1.1",",0,03,","0",",,0,28,+","0",",,0,28,+","31.0",",,0,02,","28.9",",0,28,","366.0","0","82.0",",0","48.8",",,,0","","","0",",,,0","15.93",",0","21.96",",,,0","9.90",",,,0","","","","","","","","","",""
"USW00012883","1951-03","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","94.3","0","61.2",",0","6",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","","","","","19510314",",,0","19510331","+,,0","19510331","+,,0","","","19510312",",,0","19510309","+,,0","6.1",",0,14,","0",",,0,31,+","0",",,0,31,+","63.2",",,0,12,","29.4",",0,09,+","399.0","0","33.0",",0","76.2",",,,0","","","0",",,,0","19.24",",0","24.64",",,,0","13.84",",,,0","","","","","","","","","",""
"USW00012883","1951-04","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","171.7","0","77.4",",0","11",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","","","","","19510405","+,,0","19510430","+,,0","19510430","+,,0","","","19510407",",,0","19510429","+,,0","8.9",",0,05,+","0",",,0,30,+","0",",,0,30,+","85.6",",,0,07,","28.9",",0,29,+","416.5","0","17.5",",0","207.0",",,,0","","","0",",,,0","20.33",",0","25.40",",,,0","15.26",",,,0","","","","","","","","","",""
"USW00012883","1951-05","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","352.0","0","180.3",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","6",",0","","","","","19510507",",,0","19510531","+,,0","19510531","+,,0","","","19510526",",,0","19510521",",,0","15.6",",0,07,","0",",,0,31,+","0",",,0,31,+","24.9",",,0,26,","33.3",",0,21,","416.5","0","0.0",",0","34.9",",,,0","","","0",",,,0","24.15",",0","29.61",",,,0","18.69",",,,0","","","","","","","","","",""
"USW00012883","1951-06","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","610.2","0","258.2",",0","11",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","20",",0","","","","","19510602",",,0","19510630","+,,0","19510630","+,,0","","","19510619",",,0","19510624",",,0","18.9",",0,02,","0",",,0,30,+","0",",,0,30,+","53.8",",,0,19,","35.0",",0,24,","416.5","0","0.0",",0","120.8",",,,0","","","0",",,,0","26.94",",0","32.38",",,,0","21.50",",,,0","","","","","","","","","",""
"USW00012883","1951-07","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","896.3","0","286.1",",0","19",",0","13",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","25",",0","","","","","19510724",",,0","19510731","+,,0","19510731","+,,0","","","19510714",",,0","19510714",",,0","20.0",",0,24,","0",",,0,31,+","0",",,0,31,+","49.8",",,0,14,","36.1",",0,14,","0.0","0","0.0",",0","233.4",",,,0","","","0",",,,0","27.56",",0","32.87",",,,0","22.25",",,,0","","","","","","","","","",""
"USW00012883","1951-08","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1210.7","0","314.4",",0","18",",0","12",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","19510831",",,0","19510831","+,,0","19510831","+,,0","","","19510821",",,0","19510829",",,0","21.7",",0,31,","0",",,0,31,+","0",",,0,31,+","50.8",",,0,21,","35.0",",0,29,","0.0","0","0.0",",0","176.7",",,,0","","","0",",,,0","28.47",",0","33.32",",,,0","23.63",",,,0","","","","","","","","","",""
"USW00012883","1951-09","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","1487.9","0","277.2",",0","14",",0","10",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","17",",0","","","","","19510919",",,0","19510930","+,,0","19510930","+,,0","","","19510904",",,0","19510906","+,,0","21.1",",0,19,","0",",,0,30,+","0",",,0,30,+","69.3",",,0,04,","34.4",",0,06,+","0.0","0","0.0",",0","167.8",",,,0","","","0",",,,0","27.57",",0","32.04",",,,0","23.11",",,,0","","","","","","","","","",""
"USW00012883","1951-11","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","","","46.7",",0","7",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","","","","","19511118",",,0","19511130","+,,0","19511130","+,,0","","","19511116",",,0","19511102","+,,0","1.7",",0,18,","0",",,0,30,+","0",",,0,30,+","84.8",",,0,16,","30.0",",0,02,+","","","71.6",",0","98.6",",,,0","","","0",",,,0","17.51",",0","22.85",",,,0","12.16",",,,0","","","","","","","","","",""
"USW00012883","1951-12","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","","","54.0",",0","5",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","","","","","19511216",",,0","19511231","+,,0","19511231","+,,0","","","19511218",",,0","19511230","+,,0","2.8",",0,16,","0",",,0,31,+","0",",,0,31,+","26.7",",,0,18,","27.8",",0,30,+","","","41.2",",0","60.5",",,,0","","","0",",,,0","18.75",",0","24.06",",,,0","13.44",",,,0","","","","","","","","","",""
"USW00012883","1952-01","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","35.2","0","35.2",",0","3",",0","3",",0","0",",0","0","1,0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","","","","","19520130",",,0","19520131","+,1,0","19520131","+,,0","","","19520128",",,0","19520127","+,,0","2.2",",0,30,","0","1,,0,31,+","0",",,0,31,+","11.2",",,0,28,","27.2",",0,27,+","","","64.2",",0","19.6",",,,0","","","0",",,,0","17.40",",0","22.87",",,,0","11.92",",,,0","","","","","","","","","",""
"USW00012883","1952-02","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","53.8","0","18.6",",0","14",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","","","","","19520208",",,0","19520229","+,,0","19520229","+,,0","","","19520226",",,0","19520216",",,0","6.1",",0,08,","0",",,0,29,+","0",",,0,29,+","38.6",",,0,26,","27.8",",0,16,","","","64.8",",0","100.5",",,,0","","","0",",,,0","16.74",",0","21.84",",,,0","11.64",",,,0","","","","","","","","","",""
