"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093727","1957-11","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","8.6","2,X","","","","","","","","","","","0","1,X","4","1,X","0","1,X","11","1,X","0","1,X","","","","","19571111",",1,X","","","","","","","","","19571117",",1,X","-3.3","1,X,11,","","","","","","","26.1","1,X,17,","","","164.9","1,X","","","","","12.77","2,X","18.44","1,,,X","7.09","1,,,X","","","","","","","180",",X","","","","","","","","","16.4",",X","",""
"USW00093727","1957-12","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","0.0","2,X","","","","","","","","","","","0","2,X","11","2,X","1","2,X","5","2,X","0","2,X","","","","","19571212",",2,X","","","","","","","","","19571224","+,2,X","-10.0","2,X,12,","","","","","","","22.8","2,X,24,+","","","276.5","2,X","","","","","8.80","2,X","14.97","2,,,X","2.63","2,,,X","","","","","","","248",",X","","","","","","","","","18.5",",X","",""
"USW00093727","1958-01","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","0.0","X","0.0","2,X","","","","","","","","","","","0","1,X","20","1,X","0","1,X","0","1,X","0","1,X","","","","","19580106",",1,X","","","","","","","","","19580125","+,1,X","-9.4","1,X,06,","","","","","","","17.8","1,X,25,+","","","412.5","1,X","","","","","4.21","2,X","9.80","1,,,X","-1.39","1,,,X","","","","","","","270",",X","","","","","","","","","15.4",",X","",""
"USW00093727","1958-02","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","0.0","X","0.0","3,X","","","","","","","","","","","0","3,X","17","3,X","0","3,X","2","3,X","0","3,X","","","","","19580210","+,3,X","","","","","","","","","19580225",",3,X","-7.2","3,X,10,+","","","","","","","23.3","3,X,25,","","","328.9","3,X","","","","","5.18","3,X","10.96","3,,,X","-0.60","3,,,X","","","","","","","315",",X","","","","","","","","","23.6",",X","",""
"USW00093727","1958-03","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","0.0","X","0.0",",X","","","","","","","","","","","0",",X","4",",X","0",",X","1",",X","0",",X","","","","","19580316",",,X","","","","","","","","","19580303",",,X","-1.1",",X,16,","","","","","","","25.0",",X,03,","","","279.9",",X","","","","","9.30",",X","14.28",",,,X","4.33",",,,X","","","","","","","293",",X","","","","","","","","","19.5",",X","",""
"USW00093727","1958-04","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","37.7","X","37.7",",X","","","","","","","","","","","0",",X","0",",X","0",",X","15",",X","3",",X","","","","","19580402",",,X","","","","","","","","","19580424","+,,X","1.1",",X,02,","","","","","","","32.2",",X,24,+","","","86.1",",X","","","","","16.72",",X","22.24",",,,X","11.20",",,,X","","","","","","","68",",X","","","","","","","","","21.6",",X","",""
"USW00093727","1958-05","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","129.6","X","91.9",",X","","","","","","","","","","","0",",X","0",",X","0",",X","30",",X","0",",X","","","","","19580514",",,X","","","","","","","","","19580515","+,,X","10.0",",X,14,","","","","","","","30.6",",X,15,+","","","9.2",",X","","","","","21.00",",X","26.11",",,,X","15.90",",,,X","","","","","","","248",",X","","","","","","","","","15.4",",X","",""
"USW00093727","1958-06","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","292.5","X","162.9","2,X","","","","","","","","","","","0","2,X","0","2,X","0","2,X","27","2,X","5","2,X","","","","","19580605",",2,X","","","","","","","","","19580614",",2,X","10.6","2,X,05,","","","","","","","36.1","2,X,14,","","","0.5","2,X","","","","","24.14","2,X","28.68","2,,,X","19.59","2,,,X","","","","","","","315",",X","","","","","","","","","19.5",",X","",""
"USW00093727","1958-07","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","592.3","X","299.8",",X","","","","","","","","","","","0",",X","0",",X","0",",X","31",",X","18",",X","","","","","19580701",",,X","","","","","","","","","19580729",",,X","16.1",",X,01,","","","","","","","35.0",",X,29,","0.0","X","0.0",",X","","","","","28.00",",X","32.35",",,,X","23.66",",,,X","","","","","","","225",",X","","","","","","","","","17.5",",X","",""
"USW00093727","1958-08","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","866.8","X","274.5",",X","","","","","","","","","","","0",",X","0",",X","0",",X","31",",X","14",",X","","","","","19580819",",,X","","","","","","","","","19580804",",,X","18.3",",X,19,","","","","","","","36.1",",X,04,","0.0","X","0.0",",X","","","","","27.19",",X","31.64",",,,X","22.74",",,,X","","","","","","","360",",X","","","","","","","","","19.5",",X","",""
"USW00093727","1958-09","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","995.9","X","129.1","2,X","","","","","","","","","","","0","2,X","0","2,X","0","2,X","27","2,X","2","2,X","","","","","19580929",",2,X","","","","","","","","","19580918","+,2,X","12.2","2,X,29,","","","","","","","33.3","2,X,18,+","1.1","X","1.1","2,X","","","","","22.91","2,X","27.79","2,,,X","18.02","2,,,X","","","","","","","360",",X","","","","","","","","","36.0",",X","",""
"USW00093727","1958-10","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","1021.4","X","25.5",",X","","","","","","","","","","","0",",X","0",",X","0",",X","20",",X","0",",X","","","","","19581013",",,X","","","","","","","","","19581010",",,X","2.2",",X,13,","","","","","","","28.9",",X,10,","76.0","X","74.9",",X","","","","","16.74",",X","22.19",",,,X","11.29",",,,X","","","","","","","23",",X","","","","","","","","","18.5",",X","",""
"USW00093727","1958-11","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","315",",X","","","","","","","","","20.6",",X","",""
"USW00093727","1958-12","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203",",X","","","","","","","","","17.5",",X","",""
"USW00093727","1959-01","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180",",X","","","","","","","","","22.1",",X","",""
"USW00093727","1959-02","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","0.0","4,X","","","","","","","","","","","0","4,X","5","4,X","0","4,X","3","4,X","0","4,X","","","","","19590222",",4,X","","","","","","","","","19590214","+,4,X","-7.2","4,X,22,","","","","","","","21.1","4,X,14,+","","","199.6","4,X","","","","","10.01","4,X","14.82","4,,,X","5.21","4,,,X","","","","","","","225",",X","","","","","","","","","20.6",",X","",""
"USW00093727","1959-03","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","1.4","5,X","","","","","","","","","","","0","4,X","2","4,X","0","4,X","6","4,X","0","4,X","","","","","19590320",",4,X","","","","","","","","","19590326",",4,X","-1.7","4,X,20,","","","","","","","26.1","4,X,26,","","","178.3","4,X","","","","","11.62","5,X","17.74","4,,,X","5.49","4,,,X","","","","","","","180",",X","","","","","","","","","23.6",",X","",""
"USW00093727","1959-04","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","39.8","3,X","","","","","","","","","","","0","3,X","0","3,X","0","3,X","20","3,X","0","3,X","","","","","19590404",",3,X","","","","","","","","","19590420",",3,X","3.3","3,X,04,","","","","","","","30.6","3,X,20,","","","68.0","3,X","","","","","17.29","3,X","22.85","3,,,X","11.73","3,,,X","","","","","","","338",",X","","","","","","","","","17.5",",X","",""
"USW00093727","1959-05","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","110.4","4,X","","","","","","","","","","","0","4,X","0","4,X","0","4,X","26","4,X","1","4,X","","","","","19590515",",4,X","","","","","","","","","19590503",",4,X","6.7","4,X,15,","","","","","","","34.4","4,X,03,","","","8.9","4,X","","","","","22.09","4,X","27.33","4,,,X","16.86","4,,,X","","","","","","","203",",X","","","","","","","","","19.0",",X","",""
"USW00093727","1959-06","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","179.6","2,X","","","","","","","","","","","0","2,X","0","2,X","0","2,X","28","2,X","8","2,X","","","","","19590619","+,2,X","","","","","","","","","19590630","+,2,X","11.7","2,X,19,+","","","","","","","37.8","2,X,30,+","","","0.3","2,X","","","","","24.74","2,X","30.28","2,,,X","19.19","2,,,X","","","","","","","360",",X","","","","","","","","","21.6",",X","",""
"USW00093727","1959-07","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","252.3",",X","19",",X","16",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","9",",X","9","","","","19590711","+,,X","19590731","+,,X","19590731","+,,X","16","","19590714",",,X","19590729",",,X","20.6",",X,11,+","0",",,X,31,+","0",",,X,31,+","135.9",",,X,14,","33.9",",X,29,","0.0","X","0.0",",X","364.3",",,,X","0",",,,X","26.47",",X","30.30",",,,X","22.64",",,,X","","","","","","","203",",X","","","","","","","","","17.0",",X","",""
