"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00229215","1897-07","32.31444","-90.90528","14.0","VICKSBURG, MS US","7",",6","4",",6","3",",6","","","","","","","18970719",",,6","","","46.0",",,6,19,","134.9",",,,6","","","",""
"USC00229215","1897-08","32.31444","-90.90528","14.0","VICKSBURG, MS US","11",",6","5",",6","0",",6","","","","","","","18970829",",,6","","","21.1",",,6,29,","82.4",",,,6","","","",""
"USC00229215","1897-09","32.31444","-90.90528","14.0","VICKSBURG, MS US","2",",6","2",",6","0",",6","","","","","","","18970913",",,6","","","3.8",",,6,13,","7.1",",,,6","","","",""
"USC00229215","1897-10","32.31444","-90.90528","14.0","VICKSBURG, MS US","3",",6","2",",6","0",",6","","","","","","","18971012",",,6","","","7.1",",,6,12,","13.5",",,,6","","","",""
"USC00229215","1897-11","32.31444","-90.90528","14.0","VICKSBURG, MS US","7",",6","4",",6","1",",6","","","","","","","18971101",",,6","","","36.6",",,6,01,","70.7",",,,6","","","",""
"USC00229215","1897-12","32.31444","-90.90528","14.0","VICKSBURG, MS US","14",",6","11",",6","5",",6","","","","","","","18971203",",,6","","","113.8",",,6,03,","337.0",",,,6","","","",""
"USC00229215","1898-01","32.31444","-90.90528","14.0","VICKSBURG, MS US","16",",6","10",",6","2",",6","","","","","","","18980115",",,6","","","49.5",",,6,15,","197.9",",,,6","","","",""
"USC00229215","1898-02","32.31444","-90.90528","14.0","VICKSBURG, MS US","10",",6","6",",6","1",",6","","","","","","","18980211",",,6","","","31.5",",,6,11,","71.5",",,,6","","","",""
"USC00229215","1898-03","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","5",",6","2",",6","","","","","","","18980329",",,6","","","36.6",",,6,29,","101.5",",,,6","","","",""
"USC00229215","1898-04","32.31444","-90.90528","14.0","VICKSBURG, MS US","6",",6","6",",6","1",",6","","","","","","","18980423",",,6","","","31.8",",,6,23,","72.0",",,,6","","","",""
"USC00229215","1898-05","32.31444","-90.90528","14.0","VICKSBURG, MS US","6",",6","4",",6","0",",6","","","","","","","18980506",",,6","","","14.5",",,6,06,","33.8",",,,6","","","",""
"USC00229215","1898-06","32.31444","-90.90528","14.0","VICKSBURG, MS US","15",",6","10",",6","2",",6","","","","","","","18980614",",,6","","","44.2",",,6,14,","156.9",",,,6","","","",""
"USC00229215","1898-07","32.31444","-90.90528","14.0","VICKSBURG, MS US","16",",6","9",",6","1",",6","","","","","","","18980704",",,6","","","26.9",",,6,04,","140.1",",,,6","","","",""
"USC00229215","1898-08","32.31444","-90.90528","14.0","VICKSBURG, MS US","10",",6","6",",6","0",",6","","","","","","","18980805",",,6","","","25.1",",,6,05,","82.0",",,,6","","","",""
"USC00229215","1898-09","32.31444","-90.90528","14.0","VICKSBURG, MS US","7",",6","5",",6","3",",6","","","","","","","18980921",",,6","","","88.9",",,6,21,","226.9",",,,6","","","",""
"USC00229215","1898-10","32.31444","-90.90528","14.0","VICKSBURG, MS US","6",",6","4",",6","2",",6","","","","","","","18981007",",,6","","","42.4",",,6,07,","108.1",",,,6","","","",""
"USC00229215","1898-11","32.31444","-90.90528","14.0","VICKSBURG, MS US","13",",6","11",",6","2",",6","","","","","","","18981113",",,6","","","35.1",",,6,13,","139.5",",,,6","","","",""
"USC00229215","1899-01","32.31444","-90.90528","14.0","VICKSBURG, MS US","15",",6","7",",6","2",",6","","","","","","","18990106",",,6","","","151.4",",,6,06,","263.5",",,,6","","","",""
"USC00229215","1899-02","32.31444","-90.90528","14.0","VICKSBURG, MS US","14",",6","9",",6","1",",6","","","","","","","18990226",",,6","","","39.1",",,6,26,","97.9",",,,6","","","",""
"USC00229215","1899-03","32.31444","-90.90528","14.0","VICKSBURG, MS US","10",",6","9",",6","1",",6","","","","","","","18990313",",,6","","","34.3",",,6,13,","125.2",",,,6","","","",""
"USC00229215","1899-04","32.31444","-90.90528","14.0","VICKSBURG, MS US","6",",6","4",",6","0",",6","","","","","","","18990406",",,6","","","21.1",",,6,06,","47.0",",,,6","","","",""
"USC00229215","1899-05","32.31444","-90.90528","14.0","VICKSBURG, MS US","3",",6","2",",6","0",",6","","","","","","","18990530",",,6","","","19.8",",,6,30,","26.4",",,,6","","","",""
"USC00229215","1899-06","32.31444","-90.90528","14.0","VICKSBURG, MS US","11",",6","9",",6","3",",6","","","","","","","18990609",",,6","","","29.5",",,6,09,","139.9",",,,6","","","",""
"USC00229215","1899-07","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","5",",6","1",",6","","","","","","","18990724",",,6","","","38.1",",,6,24,","63.6",",,,6","","","",""
"USC00229215","1899-08","32.31444","-90.90528","14.0","VICKSBURG, MS US","10",",6","4",",6","1",",6","","","","","","","18990804",",,6","","","66.0",",,6,04,","100.6",",,,6","","","",""
"USC00229215","1899-09","32.31444","-90.90528","14.0","VICKSBURG, MS US","5",",6","5",",6","1",",6","","","","","","","18990908",",,6","","","26.2",",,6,08,","67.2",",,,6","","","",""
"USC00229215","1899-10","32.31444","-90.90528","14.0","VICKSBURG, MS US","5",",6","2",",6","0",",6","","","","","","","18991028",",,6","","","15.5",",,6,28,","23.2",",,,6","","","",""
"USC00229215","1899-11","32.31444","-90.90528","14.0","VICKSBURG, MS US","7",",6","2",",6","0",",6","","","","","","","18991125",",,6","","","12.2",",,6,25,","21.8",",,,6","","","",""
"USC00229215","1899-12","32.31444","-90.90528","14.0","VICKSBURG, MS US","11",",6","9",",6","1",",6","","","","","","","18991211",",,6","","","141.2",",,6,11,","224.5",",,,6","","","",""
"USC00229215","1900-01","32.31444","-90.90528","14.0","VICKSBURG, MS US","10",",6","5",",6","1",",6","","","","","","","19000111",",,6","","","28.4",",,6,11,","50.8",",,,6","","","",""
"USC00229215","1900-02","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","7",",6","1",",6","","","","","","","19000228",",,6","","","42.2",",,6,28,","117.2",",,,6","","","",""
"USC00229215","1900-03","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","7",",6","2",",6","","","","","","","19000308",",,6","","","38.4",",,6,08,","113.3",",,,6","","","",""
"USC00229215","1900-04","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","7",",6","4",",6","","","","","","","19000417",",,6","","","90.9",",,6,17,","243.5",",,,6","","","",""
"USC00229215","1900-05","32.31444","-90.90528","14.0","VICKSBURG, MS US","7",",6","5",",6","0",",6","","","","","","","19000523",",,6","","","24.4",",,6,23,","87.7",",,,6","","","",""
"USC00229215","1900-06","32.31444","-90.90528","14.0","VICKSBURG, MS US","19",",6","14",",6","4",",6","","","","","","","19000623",",,6","","","56.1",",,6,23,","295.7",",,,6","","","",""
"USC00229215","1900-07","32.31444","-90.90528","14.0","VICKSBURG, MS US","14",",6","11",",6","3",",6","","","","","","","19000729",",,6","","","41.4",",,6,29,","160.0",",,,6","","","",""
"USC00229215","1900-08","32.31444","-90.90528","14.0","VICKSBURG, MS US","3",",6","1",",6","0",",6","","","","","","","19000807",",,6","","","2.5",",,6,07,","3.1",",,,6","","","",""
"USC00229215","1900-09","32.31444","-90.90528","14.0","VICKSBURG, MS US","2",",6","2",",6","1",",6","","","","","","","19000921",",,6","","","49.5",",,6,21,","53.8",",,,6","","","",""
"USC00229215","1900-10","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","5",",6","1",",6","","","","","","","19001022",",,6","","","49.3",",,6,22,","95.9",",,,6","","","",""
"USC00229215","1900-11","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","5",",6","1",",6","","","","","","","19001120",",,6","","","42.9",",,6,20,","88.3",",,,6","","","",""
"USC00229215","1900-12","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","6",",6","0",",6","","","","","","","19001213",",,6","","","17.3",",,6,13,","53.8",",,,6","","","",""
"USC00229215","1901-01","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","6",",6","2",",6","","","","","","","19010111",",,6","","","153.2",",,6,11,","217.4",",,,6","","","",""
"USC00229215","1901-02","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","9",",6","1",",6","","","","","","","19010203",",,6","","","61.2",",,6,03,","145.0",",,,6","","","",""
"USC00229215","1901-03","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","5",",6","0",",6","","","","","","","19010323",",,6","","","22.9",",,6,23,","79.4",",,,6","","","",""
"USC00229215","1901-04","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","5",",6","1",",6","","","","","","","19010418",",,6","","","40.1",",,6,18,","68.6",",,,6","","","",""
"USC00229215","1901-05","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","5",",6","3",",6","","","","","","","19010525",",,6","","","113.3",",,6,25,","246.3",",,,6","","","",""
"USC00229215","1901-06","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","5",",6","1",",6","","","","","","","19010607",",,6","","","32.0",",,6,07,","95.4",",,,6","","","",""
"USC00229215","1901-07","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","7",",6","1",",6","","","","","","","19010722",",,6","","","28.4",",,6,22,","83.5",",,,6","","","",""
"USC00229215","1901-08","32.31444","-90.90528","14.0","VICKSBURG, MS US","11",",6","8",",6","1",",6","","","","","","","19010815",",,6","","","27.9",",,6,15,","88.2",",,,6","","","",""
"USC00229215","1901-09","32.31444","-90.90528","14.0","VICKSBURG, MS US","5",",6","5",",6","1",",6","","","","","","","19010915",",,6","","","29.2",",,6,15,","89.9",",,,6","","","",""
"USC00229215","1901-10","32.31444","-90.90528","14.0","VICKSBURG, MS US","3",",6","2",",6","0",",6","","","","","","","19011012",",,6","","","23.4",",,6,12,","39.9",",,,6","","","",""
"USC00229215","1901-11","32.31444","-90.90528","14.0","VICKSBURG, MS US","6",",6","2",",6","1",",6","","","","","","","19011123",",,6","","","25.7",",,6,23,","54.4",",,,6","","","",""
"USC00229215","1901-12","32.31444","-90.90528","14.0","VICKSBURG, MS US","10",",6","7",",6","5",",6","","","","","","","19011228",",,6","","","53.1",",,6,28,","253.3",",,,6","","","",""
"USC00229215","1902-01","32.31444","-90.90528","14.0","VICKSBURG, MS US","12",",6","6",",6","0",",6","","","","","","","19020121",",,6","","","11.4",",,6,21,","49.3",",,,6","","","",""
"USC00229215","1902-02","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","6",",6","0",",6","","","","","","","19020220",",,6","","","21.8",",,6,20,","71.1",",,,6","","","",""
"USC00229215","1902-03","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","8",",6","3",",6","","","","","","","19020327",",,6","","","139.7",",,6,27,","311.4",",,,6","","","",""
"USC00229215","1902-04","32.31444","-90.90528","14.0","VICKSBURG, MS US","5",",6","5",",6","1",",6","","","","","","","19020407",",,6","","","36.1",",,6,07,","69.6",",,,6","","","",""
"USC00229215","1902-05","32.31444","-90.90528","14.0","VICKSBURG, MS US","6",",6","4",",6","1",",6","","","","","","","19020519",",,6","","","43.2",",,6,19,","80.8",",,,6","","","",""
"USC00229215","1902-06","32.31444","-90.90528","14.0","VICKSBURG, MS US","3",",6","1",",6","0",",6","","","","","","","19020601",",,6","","","14.0",",,6,01,","15.5",",,,6","","","",""
"USC00229215","1902-07","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","6",",6","1",",6","","","","","","","19020715",",,6","","","42.2",",,6,15,","111.6",",,,6","","","",""
"USC00229215","1902-08","32.31444","-90.90528","14.0","VICKSBURG, MS US","6",",6","4",",6","1",",6","","","","","","","19020801",",,6","","","59.2",",,6,01,","84.4",",,,6","","","",""
"USC00229215","1902-09","32.31444","-90.90528","14.0","VICKSBURG, MS US","13",",6","11",",6","2",",6","","","","","","","19020924",",,6","","","36.1",",,6,24,","164.4",",,,6","","","",""
"USC00229215","1902-10","32.31444","-90.90528","14.0","VICKSBURG, MS US","3",",6","2",",6","1",",6","","","","","","","19021014",",,6","","","27.4",",,6,14,","41.2",",,,6","","","",""
"USC00229215","1902-11","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","4",",6","1",",6","","","","","","","19021125",",,6","","","40.4",",,6,25,","96.5",",,,6","","","",""
"USC00229215","1902-12","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","6",",6","1",",6","","","","","","","19021215",",,6","","","48.5",",,6,15,","106.2",",,,6","","","",""
"USC00229215","1903-01","32.31444","-90.90528","14.0","VICKSBURG, MS US","13",",6","6",",6","2",",6","","","","","","","19030101",",,6","","","48.5",",,6,01,","104.2",",,,6","","","",""
"USC00229215","1903-02","32.31444","-90.90528","14.0","VICKSBURG, MS US","14",",6","10",",6","4",",6","","","","","","","19030207",",,6","","","71.9",",,6,07,","291.0",",,,6","","","",""
"USC00229215","1903-03","32.31444","-90.90528","14.0","VICKSBURG, MS US","13",",6","9",",6","1",",6","","","","","","","19030308",",,6","","","47.5",",,6,08,","152.5",",,,6","","","",""
"USC00229215","1903-04","32.31444","-90.90528","14.0","VICKSBURG, MS US","2",",6","1",",6","0",",6","","","","","","","19030430",",,6","","","24.9",",,6,30,","25.4",",,,6","","","",""
"USC00229215","1903-05","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","5",",6","0",",6","","","","","","","19030507",",,6","","","24.4",",,6,07,","69.8",",,,6","","","",""
"USC00229215","1903-06","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","4",",6","0",",6","","","","","","","19030624",",,6","","","22.6",",,6,24,","45.6",",,,6","","","",""
"USC00229215","1903-07","32.31444","-90.90528","14.0","VICKSBURG, MS US","10",",6","4",",6","0",",6","","","","","","","19030712",",,6","","","20.6",",,6,12,","53.7",",,,6","","","",""
"USC00229215","1903-08","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","6",",6","0",",6","","","","","","","19030811",",,6","","","23.4",",,6,11,","71.6",",,,6","","","",""
"USC00229215","1903-09","32.31444","-90.90528","14.0","VICKSBURG, MS US","4",",6","3",",6","0",",6","","","","","","","19030917",",,6","","","21.6",",,6,17,","46.0",",,,6","","","",""
"USC00229215","1903-10","32.31444","-90.90528","14.0","VICKSBURG, MS US","4",",6","2",",6","0",",6","","","","","","","19031017",",,6","","","5.6",",,6,17,","11.5",",,,6","","","",""
"USC00229215","1903-11","32.31444","-90.90528","14.0","VICKSBURG, MS US","4",",6","1",",6","0",",6","","","","","","","19031112",",,6","","","3.0",",,6,12,","6.3",",,,6","","","",""
"USC00229215","1903-12","32.31444","-90.90528","14.0","VICKSBURG, MS US","6",",6","5",",6","0",",6","","","","","","","19031220",",,6","","","21.1",",,6,20,","75.9",",,,6","","","",""
"USC00229215","1904-01","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","6",",6","0",",6","","","","","","","19040107",",,6","","","23.9",",,6,07,","71.5",",,,6","","","",""
"USC00229215","1904-02","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","4",",6","0",",6","","","","","","","19040221",",,6","","","13.7",",,6,21,","45.3",",,,6","","","",""
"USC00229215","1904-03","32.31444","-90.90528","14.0","VICKSBURG, MS US","10",",6","8",",6","3",",6","","","","","","","19040327",",,6","","","45.5",",,6,27,","185.5",",,,6","","","",""
"USC00229215","1904-04","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","4",",6","1",",6","","","","","","","19040408",",,6","","","51.8",",,6,08,","90.7",",,,6","","","",""
"USC00229215","1904-05","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","4",",6","1",",6","","","","","","","19040528",",,6","","","39.4",",,6,28,","71.3",",,,6","","","",""
"USC00229215","1904-06","32.31444","-90.90528","14.0","VICKSBURG, MS US","7",",6","5",",6","2",",6","","","","","","","19040606",",,6","","","30.2",",,6,06,","94.6",",,,6","","","",""
"USC00229215","1904-07","32.31444","-90.90528","14.0","VICKSBURG, MS US","17",",6","15",",6","0",",6","","","","","","","19040714",",,6","","","24.4",",,6,14,","165.0",",,,6","","","",""
"USC00229215","1904-08","32.31444","-90.90528","14.0","VICKSBURG, MS US","12",",6","11",",6","1",",6","","","","","","","19040826",",,6","","","49.3",",,6,26,","157.3",",,,6","","","",""
"USC00229215","1904-09","32.31444","-90.90528","14.0","VICKSBURG, MS US","2",",6","2",",6","0",",6","","","","","","","19040902",",,6","","","6.6",",,6,02,","10.2",",,,6","","","",""
"USC00229215","1904-10","32.31444","-90.90528","14.0","VICKSBURG, MS US","1",",6","0",",6","0",",6","","","","","","","19041012",",,6","","","1.5",",,6,12,","1.5",",,,6","","","",""
"USC00229215","1904-11","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","4",",6","1",",6","","","","","","","19041130",",,6","","","30.5",",,6,30,","75.1",",,,6","","","",""
"USC00229215","1904-12","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","4",",6","1",",6","","","","","","","19041227",",,6","","","67.8",",,6,27,","90.8",",,,6","","","",""
"USC00229215","1905-01","32.31444","-90.90528","14.0","VICKSBURG, MS US","11",",6","8",",6","2",",6","","","","","","","19050112",",,6","","","34.3",",,6,12,","135.5",",,,6","","","",""
"USC00229215","1905-02","32.31444","-90.90528","14.0","VICKSBURG, MS US","10",",6","9",",6","2",",6","","","","","","","19050208",",,6","","","47.8",",,6,08,","179.5",",,,6","","","",""
"USC00229215","1905-03","32.31444","-90.90528","14.0","VICKSBURG, MS US","7",",6","6",",6","2",",6","","","","","","","19050319",",,6","","","51.1",",,6,19,","121.3",",,,6","","","",""
"USC00229215","1905-04","32.31444","-90.90528","14.0","VICKSBURG, MS US","15",",6","6",",6","3",",6","","","","","","","19050425",",,6","","","64.3",",,6,25,","219.7",",,,6","","","",""
"USC00229215","1905-05","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","6",",6","1",",6","","","","","","","19050515",",,6","","","26.2",",,6,15,","75.0",",,,6","","","",""
"USC00229215","1905-06","32.31444","-90.90528","14.0","VICKSBURG, MS US","11",",6","7",",6","1",",6","","","","","","","19050626",",,6","","","35.3",",,6,26,","116.8",",,,6","","","",""
"USC00229215","1905-07","32.31444","-90.90528","14.0","VICKSBURG, MS US","10",",6","7",",6","1",",6","","","","","","","19050706",",,6","","","50.3",",,6,06,","113.6",",,,6","","","",""
"USC00229215","1905-08","32.31444","-90.90528","14.0","VICKSBURG, MS US","11",",6","7",",6","1",",6","","","","","","","19050826",",,6","","","30.0",",,6,26,","113.3",",,,6","","","",""
"USC00229215","1905-09","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","6",",6","2",",6","","","","","","","19050912",",,6","","","35.1",",,6,12,","95.4",",,,6","","","",""
"USC00229215","1905-10","32.31444","-90.90528","14.0","VICKSBURG, MS US","10",",6","7",",6","1",",6","","","","","","","19051015",",,6","","","76.5",",,6,15,","170.1",",,,6","","","",""
"USC00229215","1905-11","32.31444","-90.90528","14.0","VICKSBURG, MS US","8",",6","5",",6","2",",6","","","","","","","19051110",",,6","","","35.1",",,6,10,","94.3",",,,6","","","",""
"USC00229215","1905-12","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","6",",6","1",",6","","","","","","","19051213",",,6","","","30.5",",,6,13,","101.1",",,,6","","","",""
"USC00229215","1906-01","32.31444","-90.90528","14.0","VICKSBURG, MS US","7",",6","4",",6","2",",6","0",",6","","","19060123",",,6","19060122",",,6","0",",T,6,23,","52.6",",,6,22,","115.2",",,,6","0",",T,,6","",""
"USC00229215","1906-03","32.31444","-90.90528","14.0","VICKSBURG, MS US","","","","","","","0",",6","","","19060331","+,,6","","","0",",,6,31,+","","","","","0",",,,6","",""
"USC00229215","1906-04","32.31444","-90.90528","14.0","VICKSBURG, MS US","5",",6","2",",6","2",",6","","","","","","","19060428",",,6","","","51.6",",,6,28,","79.9",",,,6","","","",""
"USC00229215","1906-05","32.31444","-90.90528","14.0","VICKSBURG, MS US","9",",6","4",",6","1",",6","","","","","","","19060506",",,6","","","31.5",",,6,06,","81.4",",,,6","","","",""
"USC00229215","1906-06","32.31444","-90.90528","14.0","VICKSBURG, MS US","7",",6","5",",6","1",",6","","","","","","","19060625",",,6","","","42.7",",,6,25,","99.6",",,,6","","","",""
"USC00229215","1906-07","32.31444","-90.90528","14.0","VICKSBURG, MS US","13",",6","9",",6","0",",6","","","","","","","19060723",",,6","","","23.1",",,6,23,","80.6",",,,6","","","",""
