"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00143483","1961-02","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","2",",6","0",",6","2","","","","19610218",",,6","15.5",",,6,18,","29.0",",,,6"
"USC00143483","1961-03","37.09444","-95.94222","231.6","HAVANA, KS US","13",",6","8",",6","0",",6","","","","","19610318",",,6","20.6",",,6,18,","74.6",",,,6"
"USC00143483","1961-04","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","7",",6","1",",6","","","","","19610421",",,6","69.6",",,6,21,","132.8",",,,6"
"USC00143483","1961-05","37.09444","-95.94222","231.6","HAVANA, KS US","14",",6","11",",6","4",",6","","","","","19610501",",,6","89.2",",,6,01,","350.2",",,,6"
"USC00143483","1961-06","37.09444","-95.94222","231.6","HAVANA, KS US","12",",6","5",",6","1",",6","","","","","19610614",",,6","43.4",",,6,14,","96.4",",,,6"
"USC00143483","1961-07","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","8",",6","1",",6","2","","","","19610722",",,6","35.6",",,6,22,","118.4",",,,6"
"USC00143483","1961-08","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","3",",6","2",",6","3","","","","19610814",",,6","86.6",",,6,14,","148.5",",,,6"
"USC00143483","1961-09","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","4",",6","2",",6","2","","","","19610913",",,6","120.7",",,6,13,","184.9",",,,6"
"USC00143483","1961-10","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","6",",6","3",",6","2","","","","19611030",",,6","69.9",",,6,30,","150.6",",,,6"
"USC00143483","1961-11","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","8",",6","2",",6","3","","","","19611102",",,6","43.7",",,6,02,","134.1",",,,6"
"USC00143483","1961-12","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","5",",6","0",",6","4","","","","19611209",",,6","21.6",",,6,09,","39.4",",,,6"
"USC00143483","1962-01","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","5",",6","0",",6","3","","","","19620119",",,6","6.4",",,6,19,","24.5",",,,6"
"USC00143483","1962-02","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","2",",6","0",",6","3","","","","19620215",",,6","7.1",",,6,15,","14.3",",,,6"
"USC00143483","1962-03","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","4",",6","0",",6","1","","","","19620321",",,6","22.1",",,6,21,","40.7",",,,6"
"USC00143483","1962-04","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","5",",6","0",",6","","","","","19620423",",,6","10.7",",,6,23,","36.5",",,,6"
"USC00143483","1962-05","37.09444","-95.94222","231.6","HAVANA, KS US","3",",6","1",",6","1",",6","","","","","19620529",",,6","32.0",",,6,29,","33.3",",,,6"
"USC00143483","1962-06","37.09444","-95.94222","231.6","HAVANA, KS US","12",",6","8",",6","0",",6","1","","","","19620602",",,6","22.9",",,6,02,","72.0",",,,6"
"USC00143483","1962-07","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","4",",6","0",",6","","","","","19620711",",,6","18.8",",,6,11,","47.3",",,,6"
"USC00143483","1962-08","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","4",",6","1",",6","1","","","","19620801",",,6","29.7",",,6,01,","63.0",",,,6"
"USC00143483","1962-09","37.09444","-95.94222","231.6","HAVANA, KS US","15",",6","13",",6","4",",6","","","","","19620915",",,6","112.8",",,6,15,","302.1",",,,6"
"USC00143483","1962-10","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","5",",6","0",",6","","","","","19621029",",,6","23.9",",,6,29,","51.5",",,,6"
"USC00143483","1962-11","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","2",",6","1",",6","2","","","","19621127",",,6","29.5",",,6,27,","38.7",",,,6"
"USC00143483","1962-12","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","3",",6","0",",6","3","","","","19621220",",,6","10.2",",,6,20,","22.0",",,,6"
"USC00143483","1963-01","37.09444","-95.94222","231.6","HAVANA, KS US","3",",6","2",",6","1",",6","3","","","","19630105",",,6","29.7",",,6,05,","34.3",",,,6"
"USC00143483","1963-02","37.09444","-95.94222","231.6","HAVANA, KS US","2",",6","0",",6","0",",6","5","","","","19630224","+,,6","0.3",",,6,24,+","0.6",",,,6"
"USC00143483","1963-03","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","6",",6","1",",6","","","","","19630305",",,6","28.2",",,6,05,","93.9",",,,6"
"USC00143483","1963-04","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","2",",6","0",",6","","","","","19630425",",,6","11.2",",,6,25,","21.1",",,,6"
"USC00143483","1963-05","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","5",",6","0",",6","2","","","","19630527",",,6","21.3",",,6,27,","68.6",",,,6"
"USC00143483","1963-06","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","3",",6","1",",6","1","","","","19630616",",,6","26.7",",,6,16,","62.5",",,,6"
"USC00143483","1963-07","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","5",",6","0",",6","","","","","19630713",",,6","17.0",",,6,13,","55.9",",,,6"
"USC00143483","1963-08","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","5",",6","2",",6","1","","","","19630807",",,6","43.7",",,6,07,","113.8",",,,6"
"USC00143483","1963-09","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","4",",6","0",",6","1","","","","19630904",",,6","16.3",",,6,04,","28.5",",,,6"
"USC00143483","1963-10","37.09444","-95.94222","231.6","HAVANA, KS US","4",",6","2",",6","1",",6","","","","","19631021",",,6","37.1",",,6,21,","42.9",",,,6"
"USC00143483","1963-11","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","4",",6","0",",6","1","","","","19631120",",,6","19.6",",,6,20,","39.7",",,,6"
"USC00143483","1963-12","37.09444","-95.94222","231.6","HAVANA, KS US","3",",6","2",",6","0",",6","1","","","","19631222",",,6","9.1",",,6,22,","16.4",",,,6"
"USC00143483","1964-01","37.09444","-95.94222","231.6","HAVANA, KS US","4",",6","1",",6","0",",6","1","","","","19640131",",,6","11.4",",,6,31,","14.5",",,,6"
"USC00143483","1964-02","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","4",",6","0",",6","","","","","19640206",",,6","11.9",",,6,06,","32.2",",,,6"
"USC00143483","1964-03","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","3",",6","0",",6","","","","","19640305",",,6","16.0",",,6,05,","41.9",",,,6"
"USC00143483","1964-04","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","6",",6","1",",6","","","","","19640405",",,6","43.2",",,6,05,","100.7",",,,6"
"USC00143483","1964-05","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","7",",6","2",",6","","","","","19640528",",,6","49.5",",,6,28,","123.2",",,,6"
"USC00143483","1964-06","37.09444","-95.94222","231.6","HAVANA, KS US","12","1,6","6","1,6","1","1,6","","","","","19640623",",1,6","31.2","1,,6,23,","70.6","1,,,6"
"USC00143483","1964-07","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","2",",6","0",",6","","","","","19640702",",,6","3.0",",,6,02,","12.8",",,,6"
"USC00143483","1964-08","37.09444","-95.94222","231.6","HAVANA, KS US","13",",6","9",",6","2",",6","","","","","19640828",",,6","45.2",",,6,28,","178.1",",,,6"
"USC00143483","1964-09","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","3",",6","0",",6","2","","","","19640906",",,6","10.9",",,6,06,","31.9",",,,6"
"USC00143483","1964-10","37.09444","-95.94222","231.6","HAVANA, KS US","3",",6","1",",6","0",",6","7","","","","19641026",",,6","15.7",",,6,26,","17.0",",,,6"
"USC00143483","1964-11","37.09444","-95.94222","231.6","HAVANA, KS US","11",",6","7",",6","1",",6","1","","","","19641116",",,6","27.9",",,6,16,","109.9",",,,6"
"USC00143483","1964-12","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","3",",6","0",",6","5","","","","19641210",",,6","17.8",",,6,10,","30.1",",,,6"
"USC00143483","1965-01","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","6",",6","1",",6","2","","","","19650122",",,6","31.2",",,6,22,","56.3",",,,6"
"USC00143483","1965-02","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","4",",6","0",",6","","","","","19650224",",,6","11.2",",,6,24,","25.4",",,,6"
"USC00143483","1965-03","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","2",",6","1",",6","1","","","","19650317",",,6","34.3",",,6,17,","49.1",",,,6"
"USC00143483","1965-04","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","6",",6","2",",6","","","","","19650403",",,6","65.3",",,6,03,","186.4",",,,6"
"USC00143483","1965-05","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","5",",6","2",",6","","","","","19650509",",,6","92.2",",,6,09,","161.8",",,,6"
"USC00143483","1965-06","37.09444","-95.94222","231.6","HAVANA, KS US","15",",6","12",",6","2",",6","1","","","","19650621",",,6","46.7",",,6,21,","158.8",",,,6"
"USC00143483","1965-07","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","4",",6","1",",6","1","","","","19650706",",,6","30.0",",,6,06,","60.8",",,,6"
"USC00143483","1965-08","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","7",",6","1",",6","1","","","","19650831",",,6","30.0",",,6,31,","96.1",",,,6"
"USC00143483","1965-09","37.09444","-95.94222","231.6","HAVANA, KS US","11",",6","8",",6","3",",6","1","","","","19650921",",,6","57.2",",,6,21,","173.0",",,,6"
"USC00143483","1965-10","37.09444","-95.94222","231.6","HAVANA, KS US","1",",6","1",",6","0",",6","1","","","","19651019",",,6","5.1",",,6,19,","5.1",",,,6"
"USC00143483","1965-11","37.09444","-95.94222","231.6","HAVANA, KS US","1",",6","0",",6","0",",6","2","","","","19651112",",,6","0.5",",,6,12,","0.5",",,,6"
"USC00143483","1965-12","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","4",",6","1",",6","","","","","19651224",",,6","48.5",",,6,24,","75.1",",,,6"
"USC00143483","1966-01","37.09444","-95.94222","231.6","HAVANA, KS US","4",",6","2",",6","0",",6","1","","","","19660101",",,6","10.4",",,6,01,","15.7",",,,6"
"USC00143483","1966-02","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","5",",6","0",",6","3","","","","19660228",",,6","19.8",",,6,28,","49.3",",,,6"
"USC00143483","1966-03","37.09444","-95.94222","231.6","HAVANA, KS US","2",",6","2",",6","0",",6","2","","","","19660318",",,6","9.7",",,6,18,","19.1",",,,6"
"USC00143483","1966-04","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","3",",6","0",",6","3","","","","19660423",",,6","21.6",",,6,23,","34.5",",,,6"
"USC00143483","1966-05","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","4",",6","0",",6","","","","","19660521",",,6","21.6",",,6,21,","54.4",",,,6"
"USC00143483","1966-06","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","6",",6","2",",6","","","","","19660608",",,6","59.2",",,6,08,","160.9",",,,6"
"USC00143483","1966-07","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","5",",6","1",",6","1","","","","19660729",",,6","29.5",",,6,29,","69.9",",,,6"
"USC00143483","1966-08","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","6",",6","0",",6","4","","","","19660802",",,6","16.0",",,6,02,","66.8",",,,6"
"USC00143483","1966-09","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","4",",6","0",",6","4","","","","19660901",",,6","18.0",",,6,01,","40.6",",,,6"
"USC00143483","1966-10","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","3",",6","0",",6","","","","","19661018",",,6","18.5",",,6,18,","33.0",",,,6"
"USC00143483","1966-11","37.09444","-95.94222","231.6","HAVANA, KS US","2",",6","1",",6","0",",6","3","","","","19661105",",,6","5.6",",,6,05,","7.4",",,,6"
"USC00143483","1966-12","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","2",",6","0",",6","1","","","","19661222",",,6","16.5",",,6,22,","33.6",",,,6"
"USC00143483","1967-01","37.09444","-95.94222","231.6","HAVANA, KS US","2",",6","2",",6","1",",6","2","","","","19670126",",,6","51.8",",,6,26,","64.8",",,,6"
"USC00143483","1967-02","37.09444","-95.94222","231.6","HAVANA, KS US","3",",6","2",",6","0",",6","","","","","19670227",",,6","15.7",",,6,27,","21.5",",,,6"
"USC00143483","1967-03","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","3",",6","0",",6","4","","","","19670326",",,6","12.2",",,6,26,","28.5",",,,6"
"USC00143483","1967-04","37.09444","-95.94222","231.6","HAVANA, KS US","11",",6","7",",6","1",",6","","","","","19670413",",,6","29.7",",,6,13,","113.1",",,,6"
"USC00143483","1967-05","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","4",",6","1",",6","","","","","19670530",",,6","38.4",",,6,30,","86.9",",,,6"
"USC00143483","1967-06","37.09444","-95.94222","231.6","HAVANA, KS US","11",",6","9",",6","2",",6","1","","","","19670611",",,6","115.1",",,6,11,","211.4",",,,6"
"USC00143483","1967-07","37.09444","-95.94222","231.6","HAVANA, KS US","13",",6","7",",6","2",",6","2","","","","19670725",",,6","77.2",",,6,25,","166.1",",,,6"
"USC00143483","1967-08","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","3",",6","0",",6","2","","","","19670807",",,6","7.1",",,6,07,","17.9",",,,6"
"USC00143483","1967-09","37.09444","-95.94222","231.6","HAVANA, KS US","12",",6","9",",6","3",",6","3","","","","19670904",",,6","33.3",",,6,04,","148.2",",,,6"
"USC00143483","1967-10","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","7",",6","0",",6","","","","","19671008",",,6","23.6",",,6,08,","90.5",",,,6"
"USC00143483","1967-11","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","3",",6","0",",6","1","","","","19671130",",,6","10.2",",,6,30,","25.5",",,,6"
"USC00143483","1967-12","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","3",",6","0",",6","2","","","","19671203",",,6","9.1",",,6,03,","28.0",",,,6"
"USC00143483","1968-01","37.09444","-95.94222","231.6","HAVANA, KS US","11",",6","5",",6","0",",6","6","","","","19680130",",,6","21.3",",,6,30,","43.6",",,,6"
"USC00143483","1968-02","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","1",",6","0",",6","","","","","19680221",",,6","3.0",",,6,21,","8.4",",,,6"
"USC00143483","1968-03","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","6",",6","1",",6","2","","","","19680319",",,6","30.0",",,6,19,","77.4",",,,6"
"USC00143483","1968-04","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","5",",6","0",",6","1","","","","19680403",",,6","15.7",",,6,03,","55.2",",,,6"
"USC00143483","1968-05","37.09444","-95.94222","231.6","HAVANA, KS US","15",",6","10",",6","1",",6","1","","","","19680525",",,6","51.3",",,6,25,","135.5",",,,6"
"USC00143483","1968-06","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","6",",6","0",",6","4","","","","19680615",",,6","15.5",",,6,15,","51.0",",,,6"
"USC00143483","1968-07","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","5",",6","1",",6","4","","","","19680701",",,6","31.8",",,6,01,","95.1",",,,6"
"USC00143483","1968-08","37.09444","-95.94222","231.6","HAVANA, KS US","12",",6","8",",6","1",",6","4","","","","19680811",",,6","41.9",",,6,11,","113.7",",,,6"
"USC00143483","1968-09","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","2",",6","2",",6","","","","","19680904",",,6","31.8",",,6,04,","64.8",",,,6"
"USC00143483","1968-10","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","5",",6","2",",6","1","","","","19681009",",,6","39.4",",,6,09,","103.8",",,,6"
"USC00143483","1968-11","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","4",",6","2",",6","1","","","","19681103",",,6","32.8",",,6,03,","105.7",",,,6"
"USC00143483","1968-12","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","5",",6","0",",6","2","","","","19681222",",,6","14.5",",,6,22,","39.5",",,,6"
"USC00143483","1969-01","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","4",",6","0",",6","4","","","","19690129",",,6","20.6",",,6,29,","37.6",",,,6"
"USC00143483","1969-02","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","3",",6","0",",6","8","","","","19690215",",,6","17.5",",,6,15,","31.0",",,,6"
"USC00143483","1969-03","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","3",",6","2",",6","2","","","","19690324",",,6","35.6",",,6,24,","77.1",",,,6"
"USC00143483","1969-04","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","6",",6","1",",6","1","","","","19690417",",,6","29.7",",,6,17,","86.8",",,,6"
"USC00143483","1969-05","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","8",",6","1",",6","3","","","","19690530",",,6","82.3",",,6,30,","162.3",",,,6"
"USC00143483","1969-06","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","10",",6","3",",6","1","","","","19690624",",,6","89.2",",,6,24,","210.7",",,,6"
"USC00143483","1969-07","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","4",",6","0",",6","1","","","","19690720",",,6","14.2",",,6,20,","37.1",",,,6"
"USC00143483","1969-08","37.09444","-95.94222","231.6","HAVANA, KS US","4",",6","2",",6","0",",6","2","","","","19690815",",,6","18.3",",,6,15,","24.6",",,,6"
"USC00143483","1969-09","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","5",",6","1",",6","","","","","19690916",",,6","130.0",",,6,16,","183.8",",,,6"
"USC00143483","1969-10","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","4",",6","1",",6","","","","","19691012",",,6","55.4",",,6,12,","95.3",",,,6"
"USC00143483","1969-11","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","2",",6","0",",6","","","","","19691111",",,6","4.1",",,6,11,","8.8",",,,6"
"USC00143483","1969-12","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","3",",6","0",",6","","","","","19691211",",,6","13.2",",,6,11,","32.4",",,,6"
"USC00143483","1970-01","37.09444","-95.94222","231.6","HAVANA, KS US","4",",6","1",",6","0",",6","","","","","19700118",",,6","6.9",",,6,18,","10.0",",,,6"
"USC00143483","1970-02","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","0",",6","0",",6","","","","","19700222",",,6","1.8",",,6,22,","6.1",",,,6"
"USC00143483","1970-03","37.09444","-95.94222","231.6","HAVANA, KS US","11",",6","5",",6","0",",6","","","","","19700316",",,6","22.1",",,6,16,","63.7",",,,6"
"USC00143483","1970-04","37.09444","-95.94222","231.6","HAVANA, KS US","14",",6","10",",6","5",",6","","","","","19700430",",,6","83.3",",,6,30,","388.3",",,,6"
"USC00143483","1970-05","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","7",",6","3",",6","","","","","19700515",",,6","66.3",",,6,15,","203.0",",,,6"
"USC00143483","1970-06","37.09444","-95.94222","231.6","HAVANA, KS US","14",",6","11",",6","6",",6","","","","","19700612",",,6","139.2",",,6,12,","434.6",",,,6"
"USC00143483","1970-07","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","3",",6","0",",6","","","","","19700731","+,,6","3.8",",,6,31,+","12.2",",,,6"
"USC00143483","1970-08","37.09444","-95.94222","231.6","HAVANA, KS US","3",",6","2",",6","0",",6","","","","","19700801",",,6","11.9",",,6,01,","16.2",",,,6"
"USC00143483","1970-09","37.09444","-95.94222","231.6","HAVANA, KS US","14",",6","11",",6","5",",6","","","","","19700923",",,6","139.7",",,6,23,","404.1",",,,6"
"USC00143483","1970-10","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","6",",6","3",",6","","","","","19701007",",,6","58.4",",,6,07,","158.6",",,,6"
"USC00143483","1970-11","37.09444","-95.94222","231.6","HAVANA, KS US","4",",6","1",",6","0",",6","","","","","19701120",",,6","6.6",",,6,20,","8.2",",,,6"
"USC00143483","1970-12","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","3",",6","0",",6","","","","","19701216",",,6","14.0",",,6,16,","36.3",",,,6"
"USC00143483","1971-01","37.09444","-95.94222","231.6","HAVANA, KS US","4",",6","2",",6","1",",6","","","","","19710103",",,6","90.2",",,6,03,","97.0",",,,6"
"USC00143483","1971-02","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","4",",6","2",",6","","","","","19710204",",,6","40.1",",,6,04,","84.0",",,,6"
"USC00143483","1971-03","37.09444","-95.94222","231.6","HAVANA, KS US","3",",6","2",",6","0",",6","","","","","19710310",",,6","3.0",",,6,10,","7.6",",,,6"
"USC00143483","1971-04","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","7",",6","0",",6","","","","","19710423",",,6","11.9",",,6,23,","42.3",",,,6"
"USC00143483","1971-05","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","6",",6","2",",6","","","","","19710522",",,6","73.7",",,6,22,","132.7",",,,6"
"USC00143483","1971-06","37.09444","-95.94222","231.6","HAVANA, KS US","9","1,6","5","1,6","3","1,6","","","","","19710623",",1,6","46.7","1,,6,23,","131.6","1,,,6"
"USC00143483","1971-07","37.09444","-95.94222","231.6","HAVANA, KS US","11",",6","11",",6","6",",6","","","","","19710704",",,6","35.8",",,6,04,","257.4",",,,6"
"USC00143483","1971-08","37.09444","-95.94222","231.6","HAVANA, KS US","3",",6","0",",6","0",",6","","","","","19710807",",,6","1.5",",,6,07,","3.8",",,,6"
"USC00143483","1971-09","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","5",",6","4",",6","","","","","19710918",",,6","149.6",",,6,18,","372.9",",,,6"
"USC00143483","1971-10","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","7",",6","3",",6","","","","","19711020",",,6","136.1",",,6,20,","254.7",",,,6"
"USC00143483","1971-11","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","3",",6","1",",6","","","","","19711123",",,6","40.6",",,6,23,","53.6",",,,6"
