"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00030802","1939-07","51.683","100.983","1304.0","MONDY, RS","","","16",",I","11",",I","2",",I","","","","","","","","","","","","","","","","","19390730",",,I","","","","","","","26.9",",,I,30,","","","","","121.7",",,,I","","","","","",""
"RSM00030802","1939-08","51.683","100.983","1304.0","MONDY, RS","","","13",",I","10",",I","0",",I","","","","","","","","","","","","","","","","","19390821",",,I","","","","","","","18.8",",,I,21,","","","","","94.8",",,,I","","","","","",""
"RSM00030802","1939-09","51.683","100.983","1304.0","MONDY, RS","","","4",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19390923",",,I","","","","","","","2.1",",,I,23,","","","","","3.9",",,,I","","","","","",""
"RSM00030802","1939-10","51.683","100.983","1304.0","MONDY, RS","","","9",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19391017",",,I","","","","","","","5.2",",,I,17,","","","","","16.7",",,,I","","","","","",""
"RSM00030802","1939-11","51.683","100.983","1304.0","MONDY, RS","","","2",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19391105",",,I","","","","","","","3.7",",,I,05,","","","","","5.5",",,,I","","","","","",""
"RSM00030802","1939-12","51.683","100.983","1304.0","MONDY, RS","","","1",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19391209",",,I","","","","","","","0.9",",,I,09,","","","","","1.2",",,,I","","","","","",""
"RSM00030802","1940-01","51.683","100.983","1304.0","MONDY, RS","","","2",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19400114",",,I","","","","","","","4.5",",,I,14,","","","","","5.3",",,,I","","","","","",""
"RSM00030802","1940-02","51.683","100.983","1304.0","MONDY, RS","","","1",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19400228",",,I","","","","","","","0.4",",,I,28,","","","","","0.6",",,,I","","","","","",""
"RSM00030802","1940-03","51.683","100.983","1304.0","MONDY, RS","","","4",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19400330",",,I","","","","","","","4.4",",,I,30,","","","","","5.7",",,,I","","","","","",""
"RSM00030802","1940-04","51.683","100.983","1304.0","MONDY, RS","","","5",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19400416",",,I","","","","","","","6.0",",,I,16,","","","","","13.2",",,,I","","","","","",""
"RSM00030802","1940-05","51.683","100.983","1304.0","MONDY, RS","","","5",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19400510",",,I","","","","","","","3.9",",,I,10,","","","","","9.5",",,,I","","","","","",""
"RSM00030802","1940-06","51.683","100.983","1304.0","MONDY, RS","","","13",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19400619",",,I","","","","","","","23.8",",,I,19,","","","","","64.8",",,,I","","","","","",""
"RSM00030802","1940-07","51.683","100.983","1304.0","MONDY, RS","","","17",",I","8",",I","1",",I","","","","","","","","","","","","","","","","","19400729",",,I","","","","","","","25.4",",,I,29,","","","","","95.5",",,,I","","","","","",""
"RSM00030802","1940-08","51.683","100.983","1304.0","MONDY, RS","","","14",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19400809",",,I","","","","","","","16.3",",,I,09,","","","","","45.5",",,,I","","","","","",""
"RSM00030802","1940-09","51.683","100.983","1304.0","MONDY, RS","","","10",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19400905",",,I","","","","","","","13.9",",,I,05,","","","","","48.7",",,,I","","","","","",""
"RSM00030802","1940-10","51.683","100.983","1304.0","MONDY, RS","","","3",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19401013",",,I","","","","","","","3.6",",,I,13,","","","","","4.6",",,,I","","","","","",""
"RSM00030802","1940-11","51.683","100.983","1304.0","MONDY, RS","","","4",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19401104",",,I","","","","","","","3.0",",,I,04,","","","","","5.5",",,,I","","","","","",""
"RSM00030802","1940-12","51.683","100.983","1304.0","MONDY, RS","","","3",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19401220",",,I","","","","","","","1.2",",,I,20,","","","","","2.4",",,,I","","","","","",""
"RSM00030802","1941-01","51.683","100.983","1304.0","MONDY, RS","","","2",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19410118",",,I","","","","","","","0.6",",,I,18,","","","","","1.2",",,,I","","","","","",""
"RSM00030802","1941-02","51.683","100.983","1304.0","MONDY, RS","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19410205",",,I","","","","","","","0.2",",,I,05,","","","","","0.3",",,,I","","","","","",""
"RSM00030802","1941-03","51.683","100.983","1304.0","MONDY, RS","","","2",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19410305",",,I","","","","","","","0.6",",,I,05,","","","","","1.1",",,,I","","","","","",""
"RSM00030802","1941-04","51.683","100.983","1304.0","MONDY, RS","","","2",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19410408",",,I","","","","","","","10.0",",,I,08,","","","","","11.6",",,,I","","","","","",""
"RSM00030802","1941-05","51.683","100.983","1304.0","MONDY, RS","","","4",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19410519",",,I","","","","","","","14.2",",,I,19,","","","","","22.9",",,,I","","","","","",""
"RSM00030802","1941-06","51.683","100.983","1304.0","MONDY, RS","","","11",",I","8",",I","1",",I","","","","","","","","","","","","","","","","","19410630",",,I","","","","","","","26.5",",,I,30,","","","","","77.8",",,,I","","","","","",""
"RSM00030802","1941-07","51.683","100.983","1304.0","MONDY, RS","","","14",",I","9",",I","1",",I","","","","","","","","","","","","","","","","","19410709",",,I","","","","","","","33.2",",,I,09,","","","","","114.8",",,,I","","","","","",""
"RSM00030802","1941-08","51.683","100.983","1304.0","MONDY, RS","","","14",",I","9",",I","0",",I","","","","","","","","","","","","","","","","","19410826","+,,I","","","","","","","20.2",",,I,26,+","","","","","94.8",",,,I","","","","","",""
"RSM00030802","1941-09","51.683","100.983","1304.0","MONDY, RS","","","5",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19410917",",,I","","","","","","","5.9",",,I,17,","","","","","10.8",",,,I","","","","","",""
"RSM00030802","1941-10","51.683","100.983","1304.0","MONDY, RS","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19411023","+,,I","","","","","","","0.1",",,I,23,+","","","","","0.2",",,,I","","","","","",""
"RSM00030802","1941-11","51.683","100.983","1304.0","MONDY, RS","","","6",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19411116",",,I","","","","","","","3.3",",,I,16,","","","","","8.6",",,,I","","","","","",""
"RSM00030802","1941-12","51.683","100.983","1304.0","MONDY, RS","","","2",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19411220",",,I","","","","","","","1.6",",,I,20,","","","","","2.4",",,,I","","","","","",""
"RSM00030802","1942-01","51.683","100.983","1304.0","MONDY, RS","","","1",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19420112",",,I","","","","","","","1.1",",,I,12,","","","","","1.2",",,,I","","","","","",""
"RSM00030802","1942-02","51.683","100.983","1304.0","MONDY, RS","","","1",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19420224",",,I","","","","","","","0.5",",,I,24,","","","","","0.5",",,,I","","","","","",""
"RSM00030802","1942-03","51.683","100.983","1304.0","MONDY, RS","","","2",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19420311",",,I","","","","","","","1.7",",,I,11,","","","","","2.6",",,,I","","","","","",""
"RSM00030802","1942-04","51.683","100.983","1304.0","MONDY, RS","","","3",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19420402",",,I","","","","","","","7.6",",,I,02,","","","","","10.4",",,,I","","","","","",""
"RSM00030802","1942-05","51.683","100.983","1304.0","MONDY, RS","","","7",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19420523",",,I","","","","","","","5.7",",,I,23,","","","","","13.0",",,,I","","","","","",""
"RSM00030802","1942-06","51.683","100.983","1304.0","MONDY, RS","","","9",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19420619",",,I","","","","","","","19.8",",,I,19,","","","","","41.4",",,,I","","","","","",""
"RSM00030802","1942-07","51.683","100.983","1304.0","MONDY, RS","","","16",",I","10",",I","1",",I","","","","","","","","","","","","","","","","","19420701",",,I","","","","","","","35.6",",,I,01,","","","","","140.1",",,,I","","","","","",""
"RSM00030802","1942-08","51.683","100.983","1304.0","MONDY, RS","","","11",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19420804",",,I","","","","","","","11.8",",,I,04,","","","","","45.0",",,,I","","","","","",""
"RSM00030802","1942-09","51.683","100.983","1304.0","MONDY, RS","","","14",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19420914",",,I","","","","","","","19.5",",,I,14,","","","","","71.3",",,,I","","","","","",""
"RSM00030802","1942-10","51.683","100.983","1304.0","MONDY, RS","","","9",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19421014",",,I","","","","","","","5.0",",,I,14,","","","","","12.9",",,,I","","","","","",""
"RSM00030802","1942-11","51.683","100.983","1304.0","MONDY, RS","","","2",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19421111",",,I","","","","","","","3.6",",,I,11,","","","","","4.3",",,,I","","","","","",""
