"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00173295","1996-08","43.8925","-70.2544","115.2","GRAY, ME US","147.7","0","69.8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","","","","","19960812",",,0","19960831","+,,0","19960831","+,,0","","","19960801",",,0","19960806",",,0","10.6",",0,12,","0",",,0,31,+","0",",,0,31,+","1.5",",,0,01,","30.6",",0,06,","19.6","0","5.6",",0","4.2",",,,0","0",",,,0","20.41",",0","26.22",",,,0","14.59",",,,0","",""
"USC00173295","1996-09","43.8925","-70.2544","115.2","GRAY, ME US","169.0","0","21.3",",0","16",",0","12",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0",",0","","","","","19960927","+,,0","19960930","+,,0","19960930","+,,0","","","19960914",",,0","19960905",",,0","4.4",",0,27,+","0",",,0,30,+","0",",,0,30,+","24.9",",,0,14,","30.0",",0,05,","121.0","0","101.4",",0","98.8",",,,0","0",",,,0","15.66",",0","19.92",",,,0","11.40",",,,0","",""
"USC00173295","1996-10","43.8925","-70.2544","115.2","GRAY, ME US","169.0","0","0.0",",0","12",",0","10",",0","1",",0","0",",0","0",",0","0",",0","10",",0","0",",0","0",",0","0",",0","","","","","19961012","+,,0","19961031","+,,0","19961030",",,0","","","19961021",",,0","19961002",",,0","-1.7",",0,12,+","0",",,0,31,+","0",",T,0,30,","155.2",",,0,21,","20.6",",0,02,","429.0","0","308.0",",0","244.8",",,,0","0",",T,,0","8.40",",0","13.45",",,,0","3.35",",,,0","",""
"USC00173295","1996-11","43.8925","-70.2544","115.2","GRAY, ME US","169.0","0","0.0",",0","9",",0","4",",0","1",",0","5",",0","3",",0","0",",0","23",",0","7",",0","0",",0","0",",0","","","","","19961128",",,0","19961127",",,0","19961127",",,0","","","19961126",",,0","19961108",",,0","-10.6",",0,28,","76",",,0,27,","48",",,0,27,","32.5",",,0,26,","15.6",",0,08,","932.8","0","503.8",",0","53.5",",,,0","108",",,,0","1.54",",0","5.61",",,,0","-2.53",",,,0","",""
"USC00173295","1996-12","43.8925","-70.2544","115.2","GRAY, ME US","169.0","0","0.0",",0","17",",0","8",",0","4",",0","9",",0","1",",0","1",",0","26",",0","7",",0","0",",0","0",",0","","","","","19961231",",,0","19961208",",,0","19961208",",,0","","","19961208",",,0","19961218",",,0","-18.3",",0,31,","76",",,0,08,","122",",,0,08,","42.7",",,0,08,","11.7",",0,18,","1499.3","0","566.5",",0","199.6",",,,0","193",",,,0","0.06",",0","3.56",",,,0","-3.44",",,,0","",""
"USC00173295","1997-01","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","9",",0","8",",0","2",",0","27",",0","7",",0","7",",0","31",",0","20",",0","0",",0","0",",0","","","","","19970119",",,0","19970128",",,0","19970128",",,0","","","19970125",",,0","19970122",",,0","-23.9",",0,19,","305",",,0,28,","155",",,0,28,","29.0",",,0,25,","8.3",",0,22,","2273.0","0","773.7",",0","126.6",",,,0","569",",,,0","-6.63",",0","-1.66",",,,0","-11.59",",,,0","",""
"USC00173295","1997-02","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","9",",0","4",",0","1",",0","28",",0","2",",0","1",",0","26",",0","11",",0","0",",0","0",",0","","","","","19970209",",,0","19970205",",,0","19970205",",,0","","","19970205",",,0","19970219",",,0","-19.4",",0,09,","457",",,0,05,","155",",,0,05,","26.7",",,0,05,","10.6",",0,19,","2871.3","0","598.3",",0","59.3",",,,0","247",",,,0","-3.03",",0","1.90",",,,0","-7.97",",,,0","",""
"USC00173295","1997-03","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","15",",0","11",",0","0",",0","31",",0","8",",0","0",",0","28",",0","10",",0","0",",0","0",",0","","","","","19970313","+,,0","19970323","+,,0","19970322",",,0","","","19970314",",,0","19970330",",,0","-14.4",",0,13,+","356",",,0,23,+","135",",,0,22,","19.8",",,0,14,","14.4",",0,30,","3485.0","0","613.7",",0","107.0",",,,0","670",",,,0","-1.46",",0","3.10",",,,0","-6.03",",,,0","",""
"USC00173295","1997-04","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","8",",0","5",",0","2",",0","5",",0","1",",0","0",",0","12",",0","1",",0","0",",0","0",",0","","","","","19970409",",,0","19970401",",,0","19970412",",,0","","","19970418",",,0","19970407",",,0","-7.2",",0,09,","127",",,0,01,","53",",,0,12,","67.1",",,0,18,","20.6",",0,07,","3867.7","0","382.7",",0","130.8",",,,0","63",",,,0","5.58",",0","10.98",",,,0","0.17",",,,0","",""
"USC00173295","1997-05","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","14",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","","","","","19970505",",,0","19970531","+,,0","19970507",",,0","","","19970503",",,0","19970528",",,0","0.6",",0,05,","0",",,0,31,+","0",",T,0,07,","13.2",",,0,03,","25.6",",0,28,","4097.9","0","230.2",",0","59.2",",,,0","0",",T,,0","10.91",",0","15.87",",,,0","5.94",",,,0","",""
"USC00173295","1997-06","43.8925","-70.2544","115.2","GRAY, ME US","57.7","0","57.7",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","3",",0","","","","","19970604",",,0","19970630","+,,0","19970630","+,,0","","","19970619",",,0","19970611",",,0","5.0",",0,04,","0",",,0,30,+","0",",,0,30,+","17.0",",,0,19,","32.8",",0,11,","4156.2","0","58.3",",0","49.8",",,,0","0",",,,0","18.31",",0","24.63",",,,0","12.00",",,,0","",""
"USC00173295","1997-07","43.8925","-70.2544","115.2","GRAY, ME US","137.7","0","80.0",",0","9",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","","","","","19970725",",,0","19970731","+,,0","19970731","+,,0","","","19970709",",,0","19970717","+,,0","11.1",",0,25,","0",",,0,31,+","0",",,0,31,+","35.1",",,0,09,","31.1",",0,17,+","4.6","0","4.6",",0","65.1",",,,0","0",",,,0","20.76",",0","26.55",",,,0","14.98",",,,0","",""
"USC00173295","1997-08","43.8925","-70.2544","115.2","GRAY, ME US","193.1","0","55.4",",0","15",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","1",",0","","","","","19970807",",,0","19970831","+,,0","19970831","+,,0","","","19970821",",,0","19970810",",,0","10.0",",0,07,","0",",,0,31,+","0",",,0,31,+","22.9",",,0,21,","32.2",",0,10,","17.6","0","13.0",",0","92.0",",,,0","0",",,,0","19.70",",0","25.20",",,,0","14.20",",,,0","",""
"USC00173295","1997-09","43.8925","-70.2544","115.2","GRAY, ME US","198.1","0","5.0",",0","12",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0",",0","","","","","19970924",",,0","19970930","+,,0","19970930","+,,0","","","19970907",",,0","19970919","+,,0","1.7",",0,24,","0",",,0,30,+","0",",,0,30,+","36.3",",,0,07,","25.6",",0,19,+","126.8","0","109.2",",0","128.0",",,,0","0",",,,0","14.86",",0","19.98",",,,0","9.74",",,,0","",""
"USC00173295","1997-10","43.8925","-70.2544","115.2","GRAY, ME US","198.1","0","0.0",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","4",",0","0",",0","","","","","19971023",",,0","19971031","+,,0","19971029","+,,0","","","19971027",",,0","19971006",",,0","-4.4",",0,23,","0",",,0,31,+","0",",T,0,29,+","15.0",",,0,27,","25.6",",0,06,","426.4","0","299.6",",0","32.9",",,,0","0",",T,,0","8.67",",0","13.70",",,,0","3.64",",,,0","",""
"USC00173295","1997-11","43.8925","-70.2544","115.2","GRAY, ME US","198.1","0","0.0",",0","12",",0","10",",0","1",",0","16",",0","5",",0","0",",0","20",",0","5",",0","0",",0","0",",0","","","","","19971125",",,0","19971124","+,,Z","19971114",",,0","","","19971101",",,0","19971102",",,0","-10.0",",0,25,","229",",,Z,24,+","234",",,0,14,","38.4",",,0,01,","16.7",",0,02,","916.4","0","490.0",",0","145.7",",,,0","607",",,,0","2.00",",0","5.85",",,,0","-1.85",",,,0","",""
"USC00173295","1997-12","43.8925","-70.2544","115.2","GRAY, ME US","198.1","0","0.0",",0","7",",0","5",",0","0",",0","31",",0","2",",0","0",",0","31",",0","7",",0","0",",0","0",",0","","","","","19971231",",,0","19971202",",,0","19971201",",,0","","","19971225",",,0","19971217",",,0","-17.2",",0,31,","229",",,0,02,","117",",,0,01,","18.8",",,0,25,","8.9",",0,17,","1558.0","0","641.6",",0","53.8",",,,0","245",",,,0","-2.36",",0","2.13",",,,0","-6.86",",,,0","",""
"USC00173295","1998-01","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","15",",0","7",",0","2",",0","26",",0","4",",0","1",",0","30",",0","16",",0","0",",0","0",",0","","","","","19980101",",,0","19980124",",,0","19980123",",,0","","","19980108",",,0","19980103",",,0","-20.0",",0,01,","229",",,0,24,","107",",,0,23,","38.9",",,0,08,","11.1",",0,03,","2256.7","0","698.7",",0","123.5",",,,0","363",",,,0","-4.20",",0","-0.65",",,,0","-7.76",",,,0","",""
"USC00173295","1998-02","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","6",",0","5",",0","2",",0","27",",0","1",",0","0",",0","23",",0","4",",0","0",",0","0",",0","","","","","19980215",",,0","19980203","+,,0","19980218",",,0","","","19980218",",,0","19980228","+,,0","-16.7",",0,15,","178",",,0,03,+","51",",,0,18,","50.3",",,0,18,","9.4",",0,28,+","2792.0","0","535.3",",0","119.4",",,,0","66",",,,0","-0.79",",0","3.36",",,,0","-4.94",",,,0","",""
"USC00173295","1998-03","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","9",",0","6",",0","1",",0","13",",0","3",",0","1",",0","26",",0","7",",0","4",",0","0",",0","","","","","19980313",",,0","19980323",",,0","19980322",",,0","","","19980309",",,0","19980331",",,0","-17.8",",0,13,","152",",,0,23,","157",",,0,22,","59.9",",,0,09,","30.0",",0,31,","3295.4","0","503.4",",0","108.5",",,,0","373",",,,0","2.10",",0","7.46",",,,0","-3.27",",,,0","",""
"USC00173295","1998-04","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","10",",0","8",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","2",",0","0",",0","","","","","19980404",",,0","19980430","+,,0","19980404",",,0","","","19980420",",,0","19980430",",,0","-1.1",",0,04,","0",",,0,30,+","0",",T,0,04,","20.1",",,0,20,","22.8",",0,30,","3605.2","0","309.8",",0","71.0",",,,0","0",",T,,0","8.01",",0","13.36",",,,0","2.66",",,,0","",""
"USC00173295","1998-05","43.8925","-70.2544","115.2","GRAY, ME US","7.5","0","7.5",",0","14",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","14",",0","1",",0","","","","","19980514",",,0","19980531","+,,0","19980531","+,,0","","","19980506",",,0","19980529",",,0","1.7",",0,14,","0",",,0,31,+","0",",,0,31,+","25.1",",,0,06,","32.2",",0,29,","3728.5","0","123.3",",0","102.2",",,,0","0",",,,0","14.60",",0","20.56",",,,0","8.63",",,,0","",""
"USC00173295","1998-06","43.8925","-70.2544","115.2","GRAY, ME US","19.7","0","12.2",",0","18",",0","11",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0",",0","","","","","19980604","+,,0","19980630","+,,0","19980630","+,,0","","","19980613",",,0","19980624",",,0","4.4",",0,04,+","0",",,0,30,+","0",",,0,30,+","107.4",",,0,13,","27.8",",0,24,","3814.0","0","85.5",",0","278.8",",,,0","0",",,,0","15.89",",0","20.54",",,,0","11.24",",,,0","",""
"USC00173295","1998-07","43.8925","-70.2544","115.2","GRAY, ME US","104.4","0","84.7",",0","7",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","","","","","19980712",",,0","19980731","+,,0","19980731","+,,0","","","19980723",",,0","19980722",",,0","11.7",",0,12,","0",",,0,31,+","0",",,0,31,+","26.7",",,0,23,","33.3",",0,22,","2.6","0","2.6",",0","80.0",",,,0","0",",,,0","20.98",",0","26.60",",,,0","15.37",",,,0","",""
"USC00173295","1998-08","43.8925","-70.2544","115.2","GRAY, ME US","194.6","0","90.2",",0","9",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","","","","","19980814",",,0","19980831","+,,0","19980831","+,,0","","","19980812",",,0","19980809",",,0","10.6",",0,14,","0",",,0,31,+","0",",,0,31,+","32.3",",,0,12,","31.1",",0,09,","7.0","0","4.4",",0","106.8",",,,0","0",",,,0","21.10",",0","26.70",",,,0","15.50",",,,0","",""
"USC00173295","1998-09","43.8925","-70.2544","115.2","GRAY, ME US","200.6","0","6.0",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","","","","","19980924",",,0","19980930","+,,0","19980930","+,,0","","","19980927",",,0","19980906",",,0","4.4",",0,24,","0",",,0,30,+","0",",,0,30,+","16.0",",,0,27,","30.0",",0,06,","72.8","0","65.8",",0","62.8",",,,0","0",",,,0","16.34",",0","21.94",",,,0","10.74",",,,0","",""
"USC00173295","1998-10","43.8925","-70.2544","115.2","GRAY, ME US","200.6","0","0.0",",0","9",",0","7",",0","2",",0","0",",0","0",",0","0",",0","3",",0","0",",0","3",",0","0",",0","","","","","19981027",",,0","19981031","+,,0","19981031","+,,0","","","19981010",",,0","19981018",",,0","-1.1",",0,27,","0",",,0,31,+","0",",,0,31,+","165.1",",,0,10,","23.3",",0,18,","337.1","0","264.3",",0","276.8",",,,0","0",",,,0","9.81",",0","14.39",",,,0","5.22",",,,0","",""
"USC00173295","1998-11","43.8925","-70.2544","115.2","GRAY, ME US","200.6","0","0.0",",0","9",",0","4",",0","2",",0","0",",0","0",",0","0",",0","16",",0","0",",0","0",",0","0",",0","","","","","19981114","+,,0","19981119","+,,0","19981117",",,0","","","19981126",",,0","19981111",",,0","-3.3",",0,14,+","0",",T,0,19,+","10",",,0,17,","35.3",",,0,26,","13.3",",0,11,","768.9","0","431.8",",0","78.0",",,,0","10",",,,0","3.94",",0","7.66",",,,0","0.22",",,,0","",""
"USC00173295","1998-12","43.8925","-70.2544","115.2","GRAY, ME US","200.6","0","0.0",",0","10",",0","7",",0","0",",0","9",",0","5",",0","2",",0","25",",0","9",",0","0",",0","0",",0","","","","","19981231",",,0","19981231","+,,0","19981230",",,0","","","19981230",",,0","19981207",",,0","-21.1",",0,31,","152",",,0,31,+","107",",,0,30,","10.9",",,0,30,","20.6",",0,07,","1349.0","0","580.1",",0","47.5",",,,0","317",",,,0","-0.38",",0","4.36",",,,0","-5.12",",,,0","",""
"USC00173295","1999-01","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","14",",0","10",",0","3",",0","31",",0","7",",0","5",",0","31",",0","19",",0","0",",0","0",",0","","","","","19990102",",,0","19990115",",,0","19990115",",,0","","","19990115",",,0","19990124",",,0","-25.6",",0,02,","356",",,0,15,","112",",,0,15,","61.7",",,0,15,","11.1",",0,24,","2105.5","0","756.5",",0","170.4",",,,0","553",",,,0","-6.07",",0","-0.82",",,,0","-11.32",",,,0","",""
"USC00173295","1999-02","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","8",",0","6",",0","1",",0","26",",0","3",",0","0",",0","28",",0","7",",0","0",",0","0",",0","","","","","19990223",",,0","19990203","+,,0","19990226",",,0","","","19990202",",,0","19990203",",,0","-16.7",",0,23,","229",",,0,03,+","71",",,0,26,","30.7",",,0,02,","10.0",",0,03,","2670.0","0","564.5",",0","98.3",",,,0","214",",,,0","-1.83",",0","2.90",",,,0","-6.55",",,,0","",""
"USC00173295","1999-03","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","14",",0","10",",0","3",",0","14",",0","5",",0","0",",0","23",",0","5",",0","0",",0","0",",0","","","","","19990308",",,0","19990316",",,0","19990315",",,0","","","19990328",",,0","19990331",",,0","-13.3",",0,08,","305",",,0,16,","312",",,0,15,","40.1",",,0,28,","16.7",",0,31,","3190.4","0","520.4",",0","173.3",",,,0","564",",,,0","1.55",",0","5.85",",,,0","-2.75",",,,0","",""
"USC00173295","1999-04","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","0",",0","0",",0","","","","","19990412","+,,0","19990430","+,,0","19990430","+,,0","","","19990426",",,0","19990430",",,0","-1.7",",0,12,+","0",",,0,30,+","0",",,0,30,+","2.8",",,0,26,","18.9",",0,30,","3508.1","0","317.7",",0","9.0",",,,0","0",",,,0","7.74",",0","13.58",",,,0","1.91",",,,0","",""
"USC00173295","1999-05","43.8925","-70.2544","115.2","GRAY, ME US","6.1","0","6.1",",0","9",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","11",",0","0",",0","","","","","19990501",",,0","19990531","+,,0","19990531","+,,0","","","19990524",",,0","19990531",",,0","3.3",",0,01,","0",",,0,31,+","0",",,0,31,+","37.1",",,0,24,","31.1",",0,31,","3651.5","0","143.4",",0","87.2",",,,0","0",",,,0","13.90",",0","19.84",",,,0","7.97",",,,0","",""
"USC00173295","1999-06","43.8925","-70.2544","115.2","GRAY, ME US","73.5","0","67.4",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","1",",0","","","","","19990616",",,0","19990630","+,,0","19990630","+,,0","","","19990629",",,0","19990607",",,0","7.2",",0,16,","0",",,0,30,+","0",",,0,30,+","11.2",",,0,29,","34.4",",0,07,","3675.1","0","23.6",",0","27.7",",,,0","0",",,,0","19.79",",0","26.01",",,,0","13.58",",,,0","",""
"USC00173295","1999-07","43.8925","-70.2544","115.2","GRAY, ME US","199.7","0","126.2",",0","10",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","6",",0","","","","","19990714",",,0","19990731","+,,0","19990731","+,,0","","","19990724",",,0","19990717",",,0","11.7",",0,14,","0",",,0,31,+","0",",,0,31,+","24.6",",,0,24,","36.1",",0,17,","2.0","0","2.0",",0","69.5",",,,0","0",",,,0","22.34",",0","28.11",",,,0","16.57",",,,0","",""
"USC00173295","1999-08","43.8925","-70.2544","115.2","GRAY, ME US","263.9","0","64.2",",0","12",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","1",",0","","","","","19990810",",,0","19990831","+,,0","19990831","+,,0","","","19990814",",,0","19990801",",,0","8.9",",0,10,","0",",,0,31,+","0",",,0,31,+","28.4",",,0,14,","34.4",",0,01,","16.9","0","14.9",",0","79.0",",,,0","0",",,,0","19.92",",0","25.60",",,,0","14.25",",,,0","",""
"USC00173295","1999-09","43.8925","-70.2544","115.2","GRAY, ME US","305.8","0","41.9",",0","12",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","1",",0","","","","","19990919",",,0","19990930","+,,0","19990930","+,,0","","","19990916",",,0","19990903",",,0","6.1",",0,19,","0",",,0,30,+","0",",,0,30,+","139.4",",,0,16,","33.3",",0,03,","74.1","0","57.2",",0","315.2",",,,0","0",",,,0","17.82",",0","22.96",",,,0","12.69",",,,0","",""
"USC00173295","1999-10","43.8925","-70.2544","115.2","GRAY, ME US","305.8","0","0.0",",0","9",",0","7",",0","1",",0","0",",0","0",",0","0",",0","8",",0","0",",0","1",",0","0",",0","","","","","19991028",",,0","19991031","+,,0","19991031","+,,0","","","19991023",",,0","19991017",",,0","-3.3",",0,28,","0",",,0,31,+","0",",,0,31,+","49.5",",,0,23,","23.9",",0,17,","379.6","0","305.5",",0","112.7",",,,0","0",",,,0","8.48",",0","13.88",",,,0","3.08",",,,0","",""
