"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00106152","1894-10","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","232.2","0","0.0",",0","11",",0","9",",0","0",",0","","","0",",0","0",",0","13",",0","0",",0","2",",0","0",",0","","","18941007",",,0","","","18941002",",,0","18941024","+,,0","18941005",",,0","-2.2",",0,07,","","","0",",T,0,02,","15.2",",,0,24,+","23.3",",0,05,","","","556.5","0","","","","","323.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","96.5",",,,0","0",",T,,0","7.91",",0","14.03",",,,0","1.79",",,,0","",""
"USC00106152","1894-11","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","232.2","0","0.0",",0","6",",0","4",",0","0",",0","","","1",",0","0",",0","22",",0","0",",0","0",",0","0",",0","","","18941114",",,0","","","18941123",",,0","18941124",",,0","18941122","+,,0","-6.7",",0,14,","","","183",",,0,23,","24.9",",,0,24,","13.9",",0,22,+","","","955.0","0","","","","","398.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","56.1",",,,0","186",",,,0","5.05",",0","10.68",",,,0","-0.58",",,,0","",""
"USC00106152","1894-12","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","232.2","0","0.0","3,0","4",",0","2",",0","0",",0","","","0","4,0","0","2,0","29","2,0","8","1,0","0","1,0","0","1,0","","","18941225",",2,0","","","18941231","+,4,0","18941231",",,0","18941204",",1,0","-16.1","2,0,25,","","","0","4,,0,31,+","13.7",",,0,31,","8.9","1,0,04,","","","1503.1","0","","","","","548.1","1,0","","","","","","","","","","","","","","","","","","","","","","","","","29.2",",,,0","0","4,,,0","-1.37","3,0","2.85","1,,,0","-5.59","2,,,0","",""
"USC00106152","1895-01","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0",",0","12",",0","8",",0","0",",0","","","8",",0","0",",0","31",",0","7",",0","0",",0","0",",0","","","18950125",",,0","","","18950102",",,0","18950102",",,0","18950112",",,0","-17.2",",0,25,","","","152",",,0,02,","15.2",",,0,02,","7.8",",0,12,","","","2129.6","0","","","","","626.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","54.1",",,,0","510",",,,0","-1.88",",0","2.18",",,,0","-5.94",",,,0","",""
"USC00106152","1895-02","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0",",0","6",",0","6",",0","0",",0","","","2","1,0","0",",0","28",",0","0",",0","0",",0","0",",0","","","18950211",",,0","","","18950215",",1,0","18950220",",,0","18950219",",,0","-13.9",",0,11,","","","30","1,,0,15,","6.4",",,0,20,","8.3",",0,19,","","","2636.2","0","","","","","506.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","23.8",",,,0","55","1,,,0","0.24",",0","4.61",",,,0","-4.13",",,,0","",""
"USC00106152","1895-03","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0",",0","3",",0","3",",0","0",",0","","","0","3,0","0",",0","30",",0","1",",0","0",",0","0",",0","","","18950313",",,0","","","18950331","+,3,0","18950321",",,0","18950317",",,0","-11.1",",0,13,","","","0","3,,0,31,+","21.6",",,0,21,","13.3",",0,17,","","","3120.0","0","","","","","483.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","29.5",",,,0","0","3,,,0","2.73",",0","7.62",",,,0","-2.17",",,,0","",""
"USC00106152","1895-04","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0",",0","4",",0","4",",0","0",",0","","","1",",0","0",",0","9",",0","0",",0","5",",0","0",",0","","","18950403",",,0","","","18950403",",,0","18950425",",,0","18950424",",,0","-3.3",",0,03,","","","41",",,0,03,","20.8",",,0,25,","24.4",",0,24,","","","3392.0","0","","","","","272.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","33.0",",,,0","41",",,,0","9.27",",0","15.66",",,,0","2.87",",,,0","",""
"USC00106152","1895-05","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0",",0","3",",0","3",",0","1",",0","","","0",",0","0",",0","1",",0","0",",0","5",",0","0",",0","","","18950530",",,0","","","18950531","+,,0","18950527",",,0","18950518",",,0","-1.1",",0,30,","","","0",",,0,31,+","40.9",",,0,27,","27.2",",0,18,","","","3629.0","0","","","","","237.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","55.1",",,,0","0",",,,0","10.69",",0","16.43",",,,0","4.95",",,,0","",""
"USC00106152","1895-06","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","4.4","0","4.4",",0","2",",0","2",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","22",",0","1",",0","","","18950615","+,,0","","","18950615",",,0","18950616",",,0","18950627",",,0","0.6",",0,15,+","","","0",",T,0,15,","7.6",",,0,16,","35.6",",0,27,","","","3758.2","0","","","","","129.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","10.1",",,,0","0",",T,,0","14.17",",0","23.79",",,,0","4.55",",,,0","",""
"USC00106152","1895-07","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","25.0","0","20.6",",0","4",",0","4",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","2",",0","","","18950731","+,,0","","","18950731","+,,0","18950705",",,0","18950723",",,0","5.0",",0,31,+","","","0",",,0,31,+","15.2",",,0,05,","33.3",",0,23,","","","19.0","0","","","","","19.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","22.7",",,,0","0",",,,0","18.38",",0","29.07",",,,0","7.69",",,,0","",""
"USC00106152","1895-08","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","35.9","0","10.9","1,0","2","1,0","2","1,0","0","1,0","","","0","1,0","0","1,0","0","1,0","0","1,0","30","1,0","1","1,0","","","18950821",",1,0","","","18950831","+,1,0","18950829",",1,0","18950801",",1,0","0.6","1,0,21,","","","0","1,,0,31,+","5.6","1,,0,29,","34.4","1,0,01,","","","72.5","0","","","","","53.5","1,0","","","","","","","","","","","","","","","","","","","","","","","","","8.1","1,,,0","0","1,,,0","16.91","1,0","28.75","1,,,0","5.08","1,,,0","",""
"USC00106152","1895-09","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","35.9","0","0.0",",0","5",",0","3",",0","2",",0","","","0",",0","0",",0","14",",0","0",",0","5",",0","0",",0","","","18950918",",,0","","","18950930","+,,0","18950913",",,0","18950901",",,0","-2.2",",0,18,","","","0",",,0,30,+","40.1",",,0,13,","28.9",",0,01,","","","348.4","0","","","","","275.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","84.6",",,,0","0",",,,0","9.14",",0","17.13",",,,0","1.14",",,,0","",""
"USC00106152","1895-10","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","35.9","0","0.0","1,0","0","1,0","0","1,0","0","1,0","","","0","1,0","0","1,0","25","1,0","0","1,0","3","1,0","0","1,0","","","18951023",",1,0","","","18951031","+,1,0","18951028",",1,0","18951004",",1,0","-6.1","1,0,23,","","","0","1,,0,31,+","0.0","1,T,0,28,","23.3","1,0,04,","","","673.5","0","","","","","325.1","1,0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","1,T,,0","0","1,,,0","7.50","1,0","15.90","1,,,0","-0.91","1,,,0","",""
"USC00106152","1895-11","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","35.9","0","0.0",",0","3",",0","3",",0","1",",0","","","0","2,0","0",",0","29",",0","0",",0","0",",0","0",",0","","","18951123","+,,0","","","18951130","+,2,0","18951102",",,0","18951102",",,0","-12.2",",0,23,+","","","0","2,,0,30,+","28.4",",,0,02,","19.4",",0,02,","","","1126.0","0","","","","","452.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","44.9",",,,0","0","2,,,0","3.25",",0","11.25",",,,0","-4.76",",,,0","",""
"USC00106152","1895-12","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","35.9","0","0.0","2,0","4",",0","4",",0","0",",0","","","0","4,0","1","1,0","26","1,0","3","1,0","0","1,0","0","1,0","","","18951217",",1,0","","","18951231","+,4,0","18951219",",,0","18951215","+,1,0","-18.3","1,0,17,","","","0","4,,0,31,+","15.7",",,0,19,","13.3","1,0,15,+","","","1645.0","0","","","","","519.0","1,0","","","","","","","","","","","","","","","","","","","","","","","","","46.4",",,,0","0","4,,,0","0.26","2,0","5.09","1,,,0","-4.56","1,,,0","",""
"USC00106152","1896-01","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0",",0","5",",0","4",",0","1",",0","","","0","4,0","0",",0","20",",0","1",",0","0",",0","0",",0","","","18960101",",,0","","","18960131","+,4,0","18960124",",,0","18960125","+,,0","-6.7",",0,01,","","","0","4,,0,31,+","26.9",",,0,24,","8.9",",0,25,+","","","2141.5","0","","","","","496.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","43.9",",,,0","0","4,,,0","2.32",",0","4.80",",,,0","-0.17",",,,0","",""
"USC00106152","1896-02","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0",",0","3",",0","1",",0","1",",0","","","0","3,0","0",",0","18",",0","0",",0","0",",0","0",",0","","","18960222","+,,0","","","18960229","+,3,0","18960228",",,0","18960228",",,0","-2.2",",0,22,+","","","0","3,,0,29,+","29.5",",,0,28,","13.9",",0,28,","","","2534.4","0","","","","","392.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","32.3",",,,0","0","3,,,0","4.79",",0","9.37",",,,0","0.21",",,,0","",""
"USC00106152","1896-03","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0",",0","3",",0","2",",0","0",",0","","","0",",0","0",",0","24",",0","0",",0","0",",0","0",",0","","","18960329",",,0","","","18960330","+,,0","18960303",",,0","18960318",",,0","-7.8",",0,29,","","","0",",T,0,30,+","16.0",",,0,03,","20.0",",0,18,","","","2962.1","0","","","","","427.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","28.2",",,,0","0",",T,,0","4.54",",0","10.61",",,,0","-1.54",",,,0","",""
"USC00106152","1896-04","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","0.0","0","0.0",",0","2",",0","2",",0","0",",0","","","0",",0","0",",0","6",",0","0",",0","0",",0","0",",0","","","18960413",",,0","","","18960430","+,,0","18960427",",,0","18960418",",,0","-3.3",",0,13,","","","0",",,0,30,+","10.9",",,0,27,","20.0",",0,18,","","","3299.3","0","","","","","337.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","14.5",",,,0","0",",,,0","7.09",",0","12.49",",,,0","1.70",",,,0","",""
"USC00106152","1896-05","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","1.4","0","1.4","1,0","12",",0","11",",0","1",",0","","","0",",0","0","1,0","5","1,0","0","1,0","4","1,0","0","1,0","","","18960512",",1,0","","","18960531","+,,0","18960508",",,0","18960528",",1,0","-0.6","1,0,12,","","","0",",,0,31,+","29.5",",,0,08,","28.9","1,0,28,","","","3595.2","0","","","","","295.9","1,0","","","","","","","","","","","","","","","","","","","","","","","","","88.4",",,,0","0",",,,0","8.52","1,0","13.44","1,,,0","3.59","1,,,0","",""
"USC00106152","1896-06","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","48.4","0","47.0",",0","5",",0","5",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","17",",0","2",",0","","","18960605","+,,0","","","18960630","+,,0","18960606",",,0","18960628",",,0","1.1",",0,05,+","","","0",",,0,30,+","22.9",",,0,06,","33.3",",0,28,","","","3722.8","0","","","","","127.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","56.1",",,,0","0",",,,0","15.65",",0","21.63",",,,0","9.67",",,,0","",""
"USC00106152","1896-07","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","138.7","0","90.3","2,0","1",",0","1",",0","0",",0","","","0",",0","0","2,0","0","2,0","0",",0","31",",0","8",",0","","","18960730",",2,0","","","18960731","+,,0","18960712",",,0","18960705",",,0","4.4","2,0,30,","","","0",",,0,31,+","4.3",",,0,12,","36.1",",0,05,","","","15.4","0","","","","","15.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","4.3",",,,0","0",",,,0","21.10","2,0","29.50",",,,0","12.69","2,,,0","",""
"USC00106152","1896-08","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","176.3","0","37.6",",0","4",",0","4",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","29",",0","5",",0","","","18960811",",,0","","","18960831","+,,0","18960831",",,0","18960829","+,,0","3.3",",0,11,","","","0",",,0,31,+","21.3",",,0,31,","33.9",",0,29,+","","","49.1","0","","","","","33.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","33.7",",,,0","0",",,,0","18.46",",0","27.84",",,,0","9.09",",,,0","",""
"USC00106152","1896-09","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","179.6","0","3.3","1,0","4",",0","3",",0","0",",0","","","0",",0","0","1,0","4","1,0","0","1,0","15","1,0","0","1,0","","","18960917",",1,0","","","18960930","+,,0","18960911",",,0","18960906","+,1,0","-1.1","1,0,17,","","","0",",,0,30,+","12.4",",,0,11,","29.4","1,0,06,+","","","195.5","0","","","","","146.4","1,0","","","","","","","","","","","","","","","","","","","","","","","","","20.5",",,,0","0",",,,0","13.40","1,0","21.91","1,,,0","4.89","1,,,0","",""
"USC00106152","1896-10","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","179.6","0","0.0",",0","3",",0","3",",0","0",",0","","","0",",0","0",",0","21",",0","0",",0","12",",0","0",",0","","","18961031","+,,0","","","18961031","+,,0","18961030",",,0","18961017","+,,0","-2.2",",0,31,+","","","0",",,0,31,+","15.2",",,0,30,","24.4",",0,17,+","","","449.1","0","","","","","253.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","27.1",",,,0","0",",,,0","10.15",",0","19.24",",,,0","1.06",",,,0","",""
"USC00106152","1896-11","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","9",",0","9",",0","2",",0","","","6",",0","","","","","","","","","","","","","","","","","18961109",",,0","18961108",",,0","","","","","","","102",",,0,09,","61.0",",,0,08,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140.1",",,,0","360",",,,0","","","","","","","",""
"USC00106152","1896-12","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","6","1,0","6","1,0","1","1,0","","","","","","","","","","","","","","","","","","","","","","","18961213",",1,0","","","","","","","","","38.1","1,,0,13,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.7","1,,,0","","","","","","","","","",""
"USC00106152","1897-01","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","7",",0","6",",0","0",",0","","","","","","","","","","","","","","","","","","","","","","","18970119",",,0","","","","","","","","","5.6",",,0,19,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6",",,,0","","","","","","","","","",""
"USC00106152","1897-02","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","7","1,0","7","1,0","0","1,0","","","","","","","","","1","5,0","0","5,0","0","5,0","","","","","","","","","18970212",",1,0","18970225",",5,0","","","","","","","15.2","1,,0,12,","16.7","5,0,25,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4","1,,,0","","","","","7.42","5,,,0","","","",""
"USC00106152","1897-03","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","9","2,0","6","2,0","0","2,0","","","","","","","","","","","","","","","","","","","","","","","18970308",",2,0","","","","","","","","","5.6","2,,0,08,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.2","2,,,0","","","","","","","","","",""
"USC00106152","1897-04","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","2",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","18970430","+,,0","18970430","+,,0","18970419",",,0","","","","","0",",,0,30,+","0",",,0,30,+","7.6",",,0,19,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1",",,,0","0",",,,0","","","","","","","",""
"USC00106152","1897-05","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","4",",0","4",",0","0",",0","0",",0","0",",0","0","5,0","1","5,0","","","","","","","","","18970527",",5,0","18970531","+,,0","18970531","+,,0","18970527","+,,0","","","0.0","5,0,27,","0",",,0,31,+","0",",,0,31,+","12.7",",,0,27,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.4",",,,0","0",",,,0","","","","","3.78","5,,,0","",""
"USC00106152","1897-06","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","10",",0","8",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","18970630","+,,0","18970630","+,,0","18970616",",,0","","","","","0",",,0,30,+","0",",,0,30,+","25.4",",,0,16,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.1",",,,0","0",",,,0","","","","","","","",""
"USC00106152","1897-07","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","4",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","18970731","+,,0","18970731","+,,0","18970701",",,0","","","","","0",",,0,31,+","0",",,0,31,+","8.9",",,0,01,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5",",,,0","0",",,,0","","","","","","","",""
"USC00106152","1897-08","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","32.0","1,0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","28","1,0","6","1,0","","","18970809",",,0","18970831","+,,0","18970831","+,,0","18970830",",,0","18970803",",1,0","0.6",",0,09,","0",",,0,31,+","0",",,0,31,+","6.4",",,0,30,","33.9","1,0,03,","","","","","","","","","46.1","1,0","","","","","","","","","","","","","","","","","","","","","","","","","8.9",",,,0","0",",,,0","17.86","1,0","27.58","1,,,0","8.14",",,,0","",""
"USC00106152","1897-09","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","0.0","4,0","7",",0","7",",0","0",",0","0",",0","0",",0","0","4,0","4","4,0","0","4,0","13","4,0","0","4,0","","","18970930",",4,0","18970930","+,,0","18970930","+,,0","18970903",",,0","18970915",",4,0","-0.6","4,0,30,","0",",,0,30,+","0",",,0,30,+","14.0",",,0,03,","29.4","4,0,15,","","","","","","","","","155.9","4,0","","","","","","","","","","","","","","","","","","","","","","","","","42.4",",,,0","0",",,,0","12.34","4,0","21.09","4,,,0","3.58","4,,,0","",""
"USC00106152","1897-10","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","0.0","4,0","2","1,0","2","1,0","0","1,0","0","1,0","0","1,0","0","4,0","8","4,0","0","2,0","9","2,0","0","2,0","","","18971025","+,4,0","18971031","+,1,0","18971031","+,1,0","18971012",",1,0","18971005",",2,0","-0.6","4,0,25,+","0","1,,0,31,+","0","1,,0,31,+","15.2","1,,0,12,","26.7","2,0,05,","","","","","","","","","208.2","2,0","","","","","","","","","","","","","","","","","","","","","","","","","27.9","1,,,0","0","1,,,0","10.74","4,0","18.99","2,,,0","2.49","4,,,0","",""
