"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023034","1908-06","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","598.8","0","328.0",",0","","","","","","","","","","","0",",0","0",",0","0",",0","30",",0","28",",0","","","","","19080602",",,0","","","","","","","","","19080619",",,0","17.2",",0,02,","","","","","","","42.8",",0,19,","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","29.27",",0","36.97",",,,0","21.56",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-07","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","859.0","0","260.2",",0","","","","","","","","","","","0",",0","0",",0","0",",0","31",",0","23",",0","","","","","19080703","+,,0","","","","","","","","","19080718",",,0","17.2",",0,03,+","","","","","","","38.9",",0,18,","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","26.73",",0","33.53",",,,0","19.93",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-08","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","1130.9","0","271.9",",0","","","","","","","","","","","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","19080822","+,,0","","","","","","","","","19080802",",,0","16.1",",0,22,+","","","","","","","37.8",",0,02,","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","27.10",",0","34.59",",,,0","19.62",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-09","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","1310.0","0","179.1",",0","","","","","","","","","","","0",",0","0",",0","0",",0","30",",0","15",",0","","","","","19080928",",,0","","","","","","","","","19080906",",,0","2.8",",0,28,","","","","","","","39.4",",0,06,","6.3","0","","","6.3",",0","","","","","","","","","","","","","","","","","","","","","24.09",",0","32.68",",,,0","15.50",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-10","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","1369.6","0","59.6",",0","","","","","","","","","","","0",",0","3",",0","0",",0","29",",0","3",",0","","","","","19081029","+,,0","","","","","","","","","19081006","+,,0","-0.6",",0,29,+","","","","","","","33.3",",0,06,+","60.8","0","","","54.5",",0","","","","","","","","","","","","","","","","","","","","","18.50",",0","27.31",",,,0","9.69",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-11","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","1372.4","0","2.8","1,0","","","","","","","","","","","0","1,0","5","1,0","0",",0","19",",0","0",",0","","","","","19081114",",1,0","","","","","","","","","19081108","+,,0","-5.0","1,0,14,","","","","","","","28.9",",0,08,+","210.6","0","","","149.8",",0","","","","","","","","","","","","","","","","","","","","","13.14","1,0","22.15",",,,0","4.13","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1908-12","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","1374.9","0","2.5",",0","","","","","","","","","","","0",",0","9",",0","0",",0","13",",0","0",",0","","","","","19081222",",,0","","","","","","","","","19081216",",,0","-5.6",",0,22,","","","","","","","28.9",",0,16,","451.3","0","","","240.7",",0","","","","","","","","","","","","","","","","","","","","","10.65",",0","18.35",",,,0","2.95",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-01","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","3.9","0","3.9",",0","","","","","","","","","","","0",",0","8",",0","1",",0","16",",0","0",",0","","","","","19090112",",,0","","","","","","","","","19090123",",,0","-11.1",",0,12,","","","","","","","29.4",",0,23,","655.6","0","","","204.3",",0","","","","","","","","","","","","","","","","","","","","","11.87",",0","19.83",",,,0","3.91",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-02","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","6.1","0","2.2",",0","","","","","","","","","","","0",",0","8",",0","0",",0","14",",0","0",",0","","","","","19090216","+,,0","","","","","","","","","19090221",",,0","-8.9",",0,16,+","","","","","","","28.3",",0,21,","827.4","0","","","171.8",",0","","","","","","","","","","","","","","","","","","","","","12.28",",0","21.11",",,,0","3.45",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-03","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","26.0","0","19.9",",0","","","","","","","","","","","0",",0","2",",0","0",",0","24",",0","1",",0","","","","","19090315",",,0","","","","","","","","","19090305",",,0","-3.9",",0,15,","","","","","","","32.2",",0,05,","927.9","0","","","100.5",",0","","","","","","","","","","","","","","","","","","","","","15.73",",0","25.05",",,,0","6.41",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-04","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","97.1","0","71.1",",0","","","","","","","","","","","0",",0","2",",0","0",",0","29",",0","6",",0","","","","","19090409",",,0","","","","","","","","","19090429",",,0","-1.1",",0,09,","","","","","","","35.6",",0,29,","970.6","0","","","42.7",",0","","","","","","","","","","","","","","","","","","","","","19.28",",0","28.11",",,,0","10.45",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-05","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","266.3","0","169.2",",0","","","","","","","","","","","0",",0","0",",0","0",",0","31",",0","20",",0","","","","","19090501",",,0","","","","","","","","","19090529",",,0","4.4",",0,01,","","","","","","","38.3",",0,29,","982.5","0","","","11.9",",0","","","","","","","","","","","","","","","","","","","","","23.40",",0","32.07",",,,0","14.74",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-06","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","482.3","0","216.0",",0","","","","","","","","","","","0",",0","0",",0","0",",0","30",",0","23",",0","","","","","19090613",",,0","","","","","","","","","19090606",",,0","11.7",",0,13,","","","","","","","38.3",",0,06,","982.5","0","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","25.53",",0","34.15",",,,0","16.92",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-10","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","15.3","1,0","","","","","","","","","","","0","1,0","0","1,0","0","1,0","25","1,0","0","1,0","","","","","19091024","+,1,0","","","","","","","","","19091003",",1,0","4.4","1,0,24,+","","","","","","","30.6","1,0,03,","","","","","57.5","1,0","","","","","","","","","","","","","","","","","","","","","16.93","1,0","24.15","1,,,0","9.70","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1909-12","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","0.0",",0","","","","","","","","","","","0",",0","22",",0","3",",0","2",",0","0",",0","","","","","19091220",",,0","","","","","","","","","19091203",",,0","-14.4",",0,20,","","","","","","","26.1",",0,03,","","","","","418.8",",0","","","","","","","","","","","","","","","","","","","","","4.82",",0","11.50",",,,0","-1.86",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-01","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","1.1","0","1.1",",0","","","","","","","","","","","0",",0","17",",0","0",",0","8",",0","0",",0","","","","","19100106",",,0","","","","","","","","","19100101",",,0","-10.6",",0,06,","","","","","","","28.3",",0,01,","","","","","291.1",",0","","","","","","","","","","","","","","","","","","","","","8.98",",0","16.65",",,,0","1.31",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-02","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","1.7","0","0.6",",0","","","","","","","","","0",",0","0",",0","16",",0","0",",0","9",",0","0",",0","","","","","19100217",",,0","","","19100228","+,,0","","","","","19100215",",,0","-10.6",",0,17,","","","0",",,0,28,+","","","27.2",",0,15,","","","","","264.8",",0","","","","","","","","","","","","","","","","","","","0",",,,0","8.89",",0","17.40",",,,0","0.39",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-03","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","28.4","0","26.7",",0","","","","","","","","","0",",0","0",",0","0",",0","0",",0","26",",0","1",",0","","","","","19100311",",,0","","","19100331","+,,0","","","","","19100308",",,0","2.2",",0,11,","","","0",",,0,31,+","","","32.8",",0,08,","","","","","55.2",",0","","","","","","","","","","","","","","","","","","","0",",,,0","17.41",",0","26.10",",,,0","8.73",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-04","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","76.4","0","48.0",",0","","","","","","","","","","","0",",0","0",",0","0",",0","27",",0","5",",0","","","","","19100405",",,0","","","","","","","","","19100430",",,0","2.8",",0,05,","","","","","","","36.7",",0,30,","","","","","42.7",",0","","","","","","","","","","","","","","","","","","","","","18.51",",0","26.59",",,,0","10.43",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-05","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","230.4","0","154.0",",0","","","","","","","","","","","0",",0","0",",0","0",",0","30",",0","16",",0","","","","","19100524",",,0","","","","","","","","","19100511",",,0","9.4",",0,24,","","","","","","","36.7",",0,11,","","","","","6.1",",0","","","","","","","","","","","","","","","","","","","","","23.10",",0","30.82",",,,0","15.39",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-06","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5,0","25","5,0","24","5,0","","","","","","","","","","","","","","","19100609",",5,0","","","","","","","","","41.1","5,0,09,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.91","5,,,0","","","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-07","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","19100705",",,0","","","","","","","","","","","19.4",",0,05,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.47",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-08","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","19100830","+,,0","","","","","","","","","","","18.3",",0,30,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.06",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-09","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","252.5",",0","","","","","","","","","","","0",",0","0",",0","0",",0","30",",0","25",",0","","","","","19100927",",,0","","","","","","","","","19100904",",,0","14.4",",0,27,","","","","","","","38.9",",0,04,","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","26.75",",0","34.28",",,,0","19.22",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-10","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","64.2",",0","","","","","","","","","","","0",",0","1",",0","0",",0","27",",0","7",",0","","","","","19101029",",,0","","","","","","","","","19101014","+,,0","0.0",",0,29,","","","","","","","33.3",",0,14,+","","","","","51.1",",0","","","","","","","","","","","","","","","","","","","","","18.76",",0","26.77",",,,0","10.74",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-11","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","9.4","1,0","","","","","","","","","","","0",",0","2",",0","0","1,0","17","1,0","0","1,0","","","","","19101128",",,0","","","","","","","","","19101104",",1,0","-2.8",",0,28,","","","","","","","30.6","1,0,04,","","","","","159.9","1,0","","","","","","","","","","","","","","","","","","","","","13.15","1,0","20.91","1,,,0","5.40",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1910-12","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","0.0",",0","","","","","","","","","","","0",",0","13",",0","0",",0","4",",0","0",",0","","","","","19101206",",,0","","","","","","","","","19101209","+,,0","-5.6",",0,06,","","","","","","","23.9",",0,09,+","","","","","290.5",",0","","","","","","","","","","","","","","","","","","","","","8.96",",0","16.39",",,,0","1.54",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1911-01","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","13.9","0","13.9",",0","","","","","","","","","","","0",",0","9",",0","1",",0","17",",0","1",",0","","","","","19110103",",,0","","","","","","","","","19110131",",,0","-15.0",",0,03,","","","","","","","32.8",",0,31,","","","","","217.5",",0","","","","","","","","","","","","","","","","","","","","","11.76",",0","19.56",",,,0","3.96",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1911-02","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","16.6","0","2.7",",0","","","","","","","","","","","0",",0","5",",0","0",",0","11",",0","1",",0","","","","","19110222",",,0","","","","","","","","","19110201",",,0","-6.1",",0,22,","","","","","","","32.2",",0,01,","","","","","226.6",",0","","","","","","","","","","","","","","","","","","","","","10.34",",0","17.33",",,,0","3.35",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1911-03","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","60.4","0","43.8","1,0","","","","","","","","","","","0","1,0","0","1,0","0",",0","25",",0","7",",0","","","","","19110301",",1,0","","","","","","","","","19110311",",,0","1.1","1,0,01,","","","","","","","36.1",",0,11,","","","","","77.6",",0","","","","","","","","","","","","","","","","","","","","","17.25","1,0","25.51",",,,0","8.99","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1911-04","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","114.9","0","54.5",",0","","","","","","","","","","","0",",0","0",",0","0",",0","22",",0","2",",0","","","","","19110417","+,,0","","","","","","","","","19110411",",,0","5.0",",0,17,+","","","","","","","35.6",",0,11,","","","","","57.1",",0","","","","","","","","","","","","","","","","","","","","","18.25",",0","24.38",",,,0","12.12",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1911-05","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","274.8","0","159.9",",0","","","","","","","","","","","0",",0","0",",0","0",",0","30",",0","13",",0","","","","","19110521",",,0","","","","","","","","","19110531",",,0","8.3",",0,21,","","","","","","","36.7",",0,31,","","","","","3.3",",0","","","","","","","","","","","","","","","","","","","","","23.38",",0","30.38",",,,0","16.39",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1911-06","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","611.1","0","336.3",",0","","","","","","","","","","","0",",0","0",",0","0",",0","30",",0","29",",0","","","","","19110623","+,,0","","","","","","","","","19110624",",,0","17.8",",0,23,+","","","","","","","41.7",",0,24,","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","29.54",",0","37.73",",,,0","21.36",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1911-07","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","913.6","0","302.5","3,0","","","","","","","","","","","0","1,0","0","1,0","0","2,0","29","2,0","28","2,0","","","","","19110727",",1,0","","","","","","","","","19110723",",2,0","16.1","1,0,27,","","","","","","","42.2","2,0,23,","0.0","0","","","0.0","2,0","","","","","","","","","","","","","","","","","","","","","29.08","3,0","37.00","2,,,0","21.16","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1911-08","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","1240.7","0","327.1","3,0","","","","","","","","","","","0","3,0","0","3,0","0","1,0","30","1,0","27","1,0","","","","","19110830",",3,0","","","","","","","","","19110816",",1,0","16.7","3,0,30,","","","","","","","41.1","1,0,16,","0.0","0","","","0.0","1,0","","","","","","","","","","","","","","","","","","","","","30.06","3,0","37.46","1,,,0","22.65","3,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1911-09","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","1447.7","0","207.0","5,0","","","","","","","","","","","0","3,0","0","3,0","0","4,0","26","4,0","21","4,0","","","","","19110915",",3,0","","","","","","","","","19110901",",4,0","13.9","3,0,15,","","","","","","","37.8","4,0,01,","0.0","0","","","0.0","4,0","","","","","","","","","","","","","","","","","","","","","26.52","5,0","34.13","4,,,0","18.90","3,,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1911-10","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","1533.7","0","86.0",",0","","","","","","","","","","","0",",0","3",",0","0",",0","25",",0","8",",0","","","","","19111023","+,,0","","","","","","","","","19111002",",,0","-1.1",",0,23,+","","","","","","","35.0",",0,02,","73.1","0","","","73.1",",0","","","","","","","","","","","","","","","","","","","","","18.75",",0","26.66",",,,0","10.84",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023034","1911-11","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","1533.7","0","0.0","1,0","","","","","","","","","","","0","1,0","9","1,0","2",",0","20",",0","0",",0","","","","","19111129",",1,0","","","","","","","","","19111114",",,0","-11.1","1,0,29,","","","","","","","28.9",",0,14,","290.0","0","","","216.9",",0","","","","","","","","","","","","","","","","","","","","","10.95","1,0","20.22",",,,0","1.67","1,,,0","","","","","","","","","","","","","","","","","",""
