"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205811","1950-06","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","16",",0","11",",0","0",",0","0",",0","0",",0","","","","","","","19500630","+,,0","19500630","+,,0","19500626",",,0","","","0",",,0,30,+","0",",,0,30,+","18.5",",,0,26,","115.0",",,,0","0",",,,0","",""
"USC00205811","1950-07","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","15","1,0","5","1,0","0","1,0","0",",0","0",",0","","","","","","","19500731","+,,0","19500731","+,,0","19500725",",1,0","","","0",",,0,31,+","0",",,0,31,+","10.9","1,,0,25,","46.0","1,,,0","0",",,,0","",""
"USC00205811","1950-08","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","14",",0","9",",0","0",",0","0",",0","0",",0","","","","","","","19500831","+,,0","19500831","+,,0","19500802",",,0","","","0",",,0,31,+","0",",,0,31,+","19.3",",,0,02,","100.2",",,,0","0",",,,0","",""
"USC00205811","1950-09","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","10",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","19500930","+,,0","19500930","+,,0","19500914",",,0","","","0",",,0,30,+","0",",,0,30,+","12.7",",,0,14,","53.7",",,,0","0",",,,0","",""
"USC00205811","1950-10","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","10","1,0","8","1,0","0","1,0","0",",0","0",",0","","","","","","","19501031","+,,0","19501031","+,,0","19501003",",1,0","","","0",",,0,31,+","0",",,0,31,+","11.7","1,,0,03,","48.2","1,,,0","0",",,,0","",""
"USC00205811","1951-05","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","12",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","19510531","+,,0","19510531","+,,0","19510503",",,0","","","0",",,0,31,+","0",",,0,31,+","20.1",",,0,03,","61.4",",,,0","0",",,,0","",""
"USC00205811","1951-06","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","13",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","19510630","+,,0","19510630","+,,0","19510620",",,0","","","0",",,0,30,+","0",",,0,30,+","40.4",",,0,20,","105.4",",,,0","0",",,,0","",""
"USC00205811","1951-08","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","15",",0","9",",0","2",",0","0",",0","0",",0","","","","","","","19510831","+,,0","19510831","+,,0","19510821",",,0","","","0",",,0,31,+","0",",,0,31,+","33.8",",,0,21,","114.1",",,,0","0",",,,0","",""
"USC00205811","1951-09","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","15",",0","10",",0","1",",0","0",",0","0",",0","","","","","","","19510930","+,,0","19510930","+,,0","19510927",",,0","","","0",",,0,30,+","0",",,0,30,+","35.1",",,0,27,","106.7",",,,0","0",",,,0","",""
"USC00205811","1951-10","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","15",",0","8",",0","1",",0","0",",0","0",",0","","","","","","","19511031","+,,0","19511029",",,0","19511018",",,0","","","0",",,0,31,+","0",",T,0,29,","26.2",",,0,18,","101.4",",,,0","0",",T,,0","",""
"USC00205811","1952-04","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","9",",0","6",",0","0",",0","","","0","1,0","","","","","","","","","19520430","+,1,0","19520413",",,0","","","","","0","1,,0,30,+","10.2",",,0,13,","35.4",",,,0","0","1,,,0","",""
"USC00205811","1952-05","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","9",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","19520531","+,,0","19520531","+,,0","19520531",",,0","","","0",",,0,31,+","0",",,0,31,+","21.6",",,0,31,","64.5",",,,0","0",",,,0","",""
"USC00205811","1952-06","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","11",",0","8",",0","0",",0","0",",0","0",",0","","","","","","","19520630","+,,0","19520630","+,,0","19520609",",,0","","","0",",,0,30,+","0",",,0,30,+","20.1",",,0,09,","95.2",",,,0","0",",,,0","",""
"USC00205811","1952-07","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","13",",0","11",",0","2",",0","0",",0","0",",0","","","","","","","19520731","+,,0","19520731","+,,0","19520720",",,0","","","0",",,0,31,+","0",",,0,31,+","31.2",",,0,20,","128.1",",,,0","0",",,,0","",""
"USC00205811","1952-08","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","14",",0","9",",0","2",",0","0",",0","0",",0","","","","","","","19520831","+,,0","19520831","+,,0","19520807",",,0","","","0",",,0,31,+","0",",,0,31,+","26.9",",,0,07,","157.8",",,,0","0",",,,0","",""
"USC00205811","1952-09","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","14",",0","7",",0","0",",0","0",",0","0",",0","","","","","","","19520930","+,,0","19520930","+,,0","19520901",",,0","","","0",",,0,30,+","0",",,0,30,+","21.1",",,0,01,","72.2",",,,0","0",",,,0","",""
"USC00205811","1952-10","46.35","-85.51667","244.1","NEWBERRY CONS DEPART, MI US","12",",0","5",",0","0",",0","0",",0","0","1,0","","","","","","","19521031","+,,0","19521017",",1,0","19521019",",,0","","","0",",,0,31,+","0","1,T,0,17,","7.9",",,0,19,","31.3",",,,0","0","1,T,,0","",""
