"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097780","2016-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","28","3,S","0","3,S","","","20160516",",3,S","","","27.4","3,S,16,","26.00","3,,,S","",""
"IDM00097780","2016-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","20160604",",3,S","","","27.2","3,S,04,","25.09","3,,,S","",""
"IDM00097780","2016-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","26","3,S","0","3,S","","","20160914",",3,S","","","28.4","3,S,14,","25.49","3,,,S","",""
"IDM00097780","2016-10","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","27","4,S","0","4,S","","","20161010",",4,S","","","27.8","4,S,10,","25.11","4,,,S","",""
"IDM00097780","2016-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","20161213",",4,S","","","26.8","4,S,13,","24.61","4,,,S","",""
"IDM00097780","2017-02","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","25","3,S","0","3,S","","","20170202",",3,S","","","26.5","3,S,02,","24.55","3,,,S","",""
"IDM00097780","2017-03","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","30","1,S","0","1,S","","","20170325",",1,S","","","31.2","1,S,25,","25.60","1,,,S","",""
"IDM00097780","2017-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","25","5,S","0","5,S","","","20170421","+,5,S","","","27.4","5,S,21,+","25.07","5,,,S","",""
"IDM00097780","2017-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","29","2,S","0","2,S","","","20170519",",2,S","","","27.4","2,S,19,","25.68","2,,,S","",""
"IDM00097780","2017-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","24","5,S","0","5,S","","","20170726",",5,S","","","28.0","5,S,26,","23.29","5,,,S","",""
"IDM00097780","2017-08","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","20170826",",4,S","","","26.4","4,S,26,","23.88","4,,,S","",""
"IDM00097780","2017-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","20170905",",3,S","","","26.0","3,S,05,","23.73","3,,,S","",""
"IDM00097780","2017-10","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","31",",S","0",",S","","","20171029",",,S","","","26.2",",S,29,","24.28",",,,S","",""
"IDM00097780","2017-11","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","20171107",",3,S","","","26.4","3,S,07,","24.32","3,,,S","",""
"IDM00097780","2017-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","27","4,S","0","4,S","","","20171206",",4,S","","","25.8","4,S,06,","23.85","4,,,S","",""
"IDM00097780","2018-01","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","28","1,S","0","1,S","","","20180101",",1,S","","","25.8","1,S,01,","23.68","1,,,S","",""
"IDM00097780","2018-02","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","24","2,S","0","2,S","","","20180223","+,2,S","","","25.0","2,S,23,+","23.46","2,,,S","",""
"IDM00097780","2018-03","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","20180330",",4,S","","","25.4","4,S,30,","23.46","4,,,S","",""
"IDM00097780","2018-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","20180419",",3,S","","","26.0","3,S,19,","24.44","3,,,S","",""
"IDM00097780","2018-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","20180528","+,4,S","","","25.0","4,S,28,+","23.70","4,,,S","",""
"IDM00097780","2018-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","25","2,S","0","2,S","","","20180711",",2,S","","","25.0","2,S,11,","22.74","2,,,S","",""
"IDM00097780","2018-08","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","30","1,S","0","1,S","","","20180818",",1,S","","","27.0","1,S,18,","23.41","1,,,S","",""
"IDM00097780","2018-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","25","3,S","0","3,S","","","20180930","+,3,S","","","25.4","3,S,30,+","23.42","3,,,S","",""
"IDM00097780","2018-10","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","24","5,S","0","5,S","","","20181024","+,5,S","","","25.4","5,S,24,+","23.85","5,,,S","",""
"IDM00097780","2018-11","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","28","2,S","0","2,S","","","20181114","+,2,S","","","26.2","2,S,14,+","24.91","2,,,S","",""
"IDM00097780","2018-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","31",",S","0",",S","","","20181205",",,S","","","27.0",",S,05,","24.17",",,,S","",""
"IDM00097780","2019-01","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","20190115",",,S","","","25.2",",S,15,","23.61",",,,S","",""
"IDM00097780","2019-02","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","26","2,S","0","2,S","","","20190227",",2,S","","","26.4","2,S,27,","23.85","2,,,S","",""
"IDM00097780","2019-03","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","27","1,S","0","1,S","","","20190326",",1,S","","","26.2","1,S,26,","23.58","1,,,S","",""
"IDM00097780","2019-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","29","1,S","0","1,S","","","20190409","+,1,S","","","26.0","1,S,09,+","24.28","1,,,S","",""
"IDM00097780","2019-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","27","2,S","0","2,S","","","20190512",",2,S","","","25.8","2,S,12,","23.74","2,,,S","",""
"IDM00097780","2019-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","20190622","+,3,S","","","24.8","3,S,22,+","23.33","3,,,S","",""
"IDM00097780","2019-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","25","3,S","0","3,S","","","20190720",",3,S","","","24.4","3,S,20,","22.40","3,,,S","",""
"IDM00097780","2019-08","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","24","3,S","0","3,S","","","20190825",",3,S","","","26.6","3,S,25,","22.97","3,,,S","",""
"IDM00097780","2019-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","20190913",",3,S","","","25.2","3,S,13,","23.47","3,,,S","",""
"IDM00097780","2019-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","31",",S","0",",S","","","20191230",",,S","","","26.8",",S,30,","24.83",",,,S","",""
"IDM00097780","2020-01","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","30","1,S","0","1,S","","","20200131",",1,S","","","27.0","1,S,31,","24.95","1,,,S","",""
"IDM00097780","2020-02","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","29",",S","0",",S","","","20200215",",,S","","","27.0",",S,15,","24.54",",,,S","",""
"IDM00097780","2020-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","20200411",",4,S","","","25.8","4,S,11,","24.52","4,,,S","",""
"IDM00097780","2020-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","25","5,S","0","5,S","","","20200515",",5,S","","","26.4","5,S,15,","24.61","5,,,S","",""
"IDM00097780","2020-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","20200605",",3,S","","","25.2","3,S,05,","23.85","3,,,S","",""
"IDM00097780","2020-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","25","5,S","0","5,S","","","20200730","+,5,S","","","24.8","5,S,30,+","23.47","5,,,S","",""
"IDM00097780","2020-08","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","29","1,S","0","1,S","","","20200809",",1,S","","","25.0","1,S,09,","23.09","1,,,S","",""
"IDM00097780","2020-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","20200901",",3,S","","","25.6","3,S,01,","24.10","3,,,S","",""
"IDM00097780","2020-10","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","26","5,S","0","5,S","","","20201031",",5,S","","","25.2","5,S,31,","23.77","5,,,S","",""
"IDM00097780","2020-11","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","20201119",",,S","","","27.0",",S,19,","24.95",",,,S","",""
"IDM00097780","2020-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","30","1,S","0","1,S","","","20201213","+,1,S","","","25.8","1,S,13,+","24.13","1,,,S","",""
"IDM00097780","2021-01","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","20210107",",3,S","","","26.8","3,S,07,","23.83","3,,,S","",""
"IDM00097780","2021-03","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","31",",S","0",",S","","","20210327",",,S","","","26.0",",S,27,","24.19",",,,S","",""
"IDM00097780","2021-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","29",",S","0",",S","","","20210416",",,S","","","26.2",",S,16,","24.37",",,,S","",""
"IDM00097780","2021-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","30","1,S","0","1,S","","","20210525",",1,S","","","26.0","1,S,25,","24.15","1,,,S","",""
"IDM00097780","2021-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","20210623","+,,S","","","26.0",",S,23,+","24.14",",,,S","",""
"IDM00097780","2021-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","28","1,S","0","1,S","","","20210727",",1,S","","","25.2","1,S,27,","23.45","1,,,S","",""
"IDM00097780","2021-08","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","29","2,S","0","2,S","","","20210811",",2,S","","","25.6","2,S,11,","24.05","2,,,S","",""
"IDM00097780","2021-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","20210927","+,3,S","","","26.2","3,S,27,+","24.41","3,,,S","",""
"IDM00097780","2021-10","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","27","4,S","0","4,S","","","20211001",",4,S","","","26.4","4,S,01,","24.46","4,,,S","",""
"IDM00097780","2021-11","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","28","2,S","0","2,S","","","20211123",",2,S","","","26.4","2,S,23,","24.49","2,,,S","",""
"IDM00097780","2021-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","28","1,S","0","1,S","","","20211206",",1,S","","","25.8","1,S,06,","23.95","1,,,S","",""
"IDM00097780","2022-01","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","29","1,S","0","1,S","","","20220127",",1,S","","","26.6","1,S,27,","23.92","1,,,S","",""
"IDM00097780","2022-02","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","28",",S","0",",S","","","20220215","+,,S","","","25.6",",S,15,+","24.31",",,,S","",""
"IDM00097780","2022-03","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","31",",S","0",",S","","","20220316",",,S","","","26.7",",S,16,","24.55",",,,S","",""
"IDM00097780","2022-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","29","1,S","0","1,S","","","20220403",",1,S","","","26.8","1,S,03,","24.85","1,,,S","",""
"IDM00097780","2022-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","30","1,S","0","1,S","","","20220509",",1,S","","","27.2","1,S,09,","25.10","1,,,S","",""
"IDM00097780","2022-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","20220630","+,,S","","","25.4",",S,30,+","24.32",",,,S","",""
"IDM00097780","2022-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","20220702",",,S","","","25.2",",S,02,","23.57",",,,S","",""
"IDM00097780","2022-08","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","20220803",",,S","","","26.4",",S,03,","23.65",",,,S","",""
"IDM00097780","2022-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","20220915",",,S","","","26.0",",S,15,","24.31",",,,S","",""
"IDM00097780","2022-10","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","26","5,S","0","5,S","","","20221026",",5,S","","","26.4","5,S,26,","24.67","5,,,S","",""
"IDM00097780","2022-11","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","29",",S","0",",S","","","20221109","+,,S","","","26.4",",S,09,+","24.95",",,,S","",""
"IDM00097780","2022-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","20221207",",,S","","","26.6",",S,07,","24.09",",,,S","",""
"IDM00097780","2023-01","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","30","1,S","0","1,S","","","20230110",",1,S","","","26.0","1,S,10,","24.08","1,,,S","",""
"IDM00097780","2023-02","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","25","1,S","0","1,S","","","20230224",",1,S","","","25.7","1,S,24,","23.48","1,,,S","",""
"IDM00097780","2023-03","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","29","1,S","0","1,S","","","20230323",",1,S","","","28.9","1,S,23,","24.63","1,,,S","",""
"IDM00097780","2023-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","20230402",",,S","","","26.2",",S,02,","24.48",",,,S","",""
"IDM00097780","2023-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","29","1,S","0","1,S","","","20230523","+,1,S","","","26.6","1,S,23,+","24.66","1,,,S","",""
"IDM00097780","2023-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","28","2,S","0","2,S","","","20230604","+,2,S","","","26.0","2,S,04,+","24.09","2,,,S","",""
"IDM00097780","2023-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","29","2,S","0","2,S","","","20230718",",2,S","","","26.6","2,S,18,","24.36","2,,,S","",""
"IDM00097780","2023-08","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","20230801",",3,S","","","26.2","3,S,01,","24.00","3,,,S","",""
"IDM00097780","2023-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","20230918",",4,S","","","26.8","4,S,18,","23.94","4,,,S","",""
"IDM00097780","2023-10","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","31",",S","0",",S","","","20231024","+,,S","","","26.4",",S,24,+","25.02",",,,S","",""
"IDM00097780","2023-11","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","20231103",",,S","","","27.6",",S,03,","25.35",",,,S","",""
"IDM00097780","2023-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","25","5,S","0","5,S","","","20231228",",5,S","","","26.8","5,S,28,","24.61","5,,,S","",""
"IDM00097780","2024-01","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","31",",S","0",",S","","","20240127",",,S","","","27.0",",S,27,","24.79",",,,S","",""
"IDM00097780","2024-02","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","29",",S","0",",S","","","20240222",",,S","","","28.0",",S,22,","25.32",",,,S","",""
"IDM00097780","2024-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","29","1,S","0","1,S","","","20240602",",1,S","","","27.1","1,S,02,","24.52","1,,,S","",""
