"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KYHS0001","2011-05","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","14",",N","9",",N","3",",N","","","","","","","","","20110502",",,N","","","","","63.5",",,N,02,","184.6",",,,N","",""
"US1KYHS0001","2011-06","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","10",",N","6",",N","2",",N","","","","","","","","","20110618",",,N","","","","","45.0",",,N,18,","144.1",",,,N","",""
"US1KYHS0001","2011-08","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","6",",N","2",",N","1",",N","","","0","4,N","","","20110831","+,4,N","20110807",",,N","","","0","4,,N,31,+","25.9",",,N,07,","30.8",",,,N","0","4,,,N"
"US1KYHS0001","2011-09","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","11",",N","10",",N","4",",N","","","","","","","","","20110926",",,N","","","","","69.9",",,N,26,","215.7",",,,N","",""
"US1KYHS0001","2011-10","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","5",",N","4",",N","1",",N","","","0","5,N","","","20111031","+,5,N","20111027",",,N","","","0","5,,N,31,+","31.5",",,N,27,","60.5",",,,N","0","5,,,N"
"US1KYHS0001","2011-11","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","15",",N","11",",N","3",",N","","","","","","","","","20111115",",,N","","","","","50.8",",,N,15,","221.1",",,,N","",""
"US1KYHS0001","2012-01","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","8","5,N","5","5,N","1","5,N","","","","","","","","","20120123",",5,N","","","","","26.4","5,,N,23,","75.7",",a,,N","",""
"US1KYHS0001","2012-02","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","9",",N","4",",N","0",",N","","","","","","","","","20120216",",,N","","","","","8.4",",,N,16,","32.1",",,,N","",""
"US1KYHS0001","2012-03","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","12",",N","5",",N","1",",N","","","","","","","","","20120309",",,N","","","","","31.0",",,N,09,","66.0",",,,N","",""
"US1KYHS0001","2012-04","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","7",",N","4",",N","0",",N","","","","","","","","","20120405",",,N","","","","","10.4",",,N,05,","37.7",",,,N","",""
