"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"PA000086033","1991-09","-20.23","-58.167","96.0","BAHIA NEGRA, PA","5",",I","3",",I","2",",I","","","","","","","19910914",",,I","","","37.0",",,I,14,","78.0",",,,I","",""
"PA000086033","1991-10","-20.23","-58.167","96.0","BAHIA NEGRA, PA","4",",I","3",",I","3",",I","","","","","","","19911023",",,I","","","80.0",",,I,23,","165.0",",,,I","",""
"PA000086033","1991-11","-20.23","-58.167","96.0","BAHIA NEGRA, PA","6",",I","5",",I","3",",I","","","","","","","19911110",",,I","","","144.0",",,I,10,","298.0",",,,I","",""
"PA000086033","1991-12","-20.23","-58.167","96.0","BAHIA NEGRA, PA","6",",I","5",",I","2",",I","","","","","","","19911217",",,I","","","43.0",",,I,17,","129.8",",,,I","",""
"PA000086033","1992-01","-20.23","-58.167","96.0","BAHIA NEGRA, PA","12",",I","9",",I","3",",I","","","","","","","19920115",",,I","","","115.0",",,I,15,","266.5",",,,I","",""
"PA000086033","1992-02","-20.23","-58.167","96.0","BAHIA NEGRA, PA","12",",I","10",",I","1",",I","","","","","","","19920227",",,I","","","37.0",",,I,27,","141.0",",,,I","",""
"PA000086033","1992-03","-20.23","-58.167","96.0","BAHIA NEGRA, PA","7",",I","6",",I","3",",I","","","","","","","19920311",",,I","","","33.0",",,I,11,","137.0",",,,I","",""
"PA000086033","1992-04","-20.23","-58.167","96.0","BAHIA NEGRA, PA","9",",I","7",",I","2",",I","","","","","","","19920406",",,I","","","47.0",",,I,06,","160.7",",,,I","",""
"PA000086033","1992-05","-20.23","-58.167","96.0","BAHIA NEGRA, PA","6",",I","5",",I","1",",I","","","","","","","19920530",",,I","","","35.8",",,I,30,","81.0",",,,I","",""
"PA000086033","1992-06","-20.23","-58.167","96.0","BAHIA NEGRA, PA","1",",I","0",",I","0",",I","","","","","","","19920630",",,I","","","2.0",",,I,30,","2.0",",,,I","",""
"PA000086033","1992-07","-20.23","-58.167","96.0","BAHIA NEGRA, PA","7",",I","4",",I","0",",I","","","","","","","19920701",",,I","","","8.0",",,I,01,","23.0",",,,I","",""
"PA000086033","1992-08","-20.23","-58.167","96.0","BAHIA NEGRA, PA","5",",I","5",",I","1",",I","","","","","","","19920831",",,I","","","40.0",",,I,31,","95.0",",,,I","",""
"PA000086033","1992-09","-20.23","-58.167","96.0","BAHIA NEGRA, PA","13",",I","11",",I","4",",I","","","","","","","19920910",",,I","","","26.8",",,I,10,","161.0",",,,I","",""
"PA000086033","1992-10","-20.23","-58.167","96.0","BAHIA NEGRA, PA","8",",I","8",",I","2",",I","","","","","","","19921005",",,I","","","52.4",",,I,05,","175.6",",,,I","",""
"PA000086033","1992-11","-20.23","-58.167","96.0","BAHIA NEGRA, PA","9",",I","9",",I","2",",I","","","","","","","19921125",",,I","","","64.3",",,I,25,","184.4",",,,I","",""
"PA000086033","1992-12","-20.23","-58.167","96.0","BAHIA NEGRA, PA","8",",I","6",",I","1",",I","","","","","","","19921209",",,I","","","43.0",",,I,09,","105.1",",,,I","",""
"PA000086033","1993-01","-20.23","-58.167","96.0","BAHIA NEGRA, PA","12",",I","9",",I","2",",I","","","","","","","19930118",",,I","","","51.4",",,I,18,","169.9",",,,I","",""
"PA000086033","1993-02","-20.23","-58.167","96.0","BAHIA NEGRA, PA","5",",I","4",",I","0",",I","","","","","","","19930201",",,I","","","23.4",",,I,01,","61.1",",,,I","",""
"PA000086033","1993-03","-20.23","-58.167","96.0","BAHIA NEGRA, PA","7",",I","5",",I","0",",I","","","","","","","19930322",",,I","","","23.0",",,I,22,","64.4",",,,I","",""
"PA000086033","1993-04","-20.23","-58.167","96.0","BAHIA NEGRA, PA","4",",I","3",",I","0",",I","","","","","","","19930420",",,I","","","13.6",",,I,20,","21.1",",,,I","",""
"PA000086033","1993-05","-20.23","-58.167","96.0","BAHIA NEGRA, PA","2",",I","2",",I","1",",I","","","","","","","19930513",",,I","","","26.6",",,I,13,","32.6",",,,I","",""
"PA000086033","1993-06","-20.23","-58.167","96.0","BAHIA NEGRA, PA","2",",I","1",",I","0",",I","","","","","","","19930608",",,I","","","11.4",",,I,08,","11.8",",,,I","",""
"PA000086033","1993-07","-20.23","-58.167","96.0","BAHIA NEGRA, PA","5",",I","2",",I","0",",I","","","","","","","19930728",",,I","","","21.0",",,I,28,","27.0",",,,I","",""
"PA000086033","1993-08","-20.23","-58.167","96.0","BAHIA NEGRA, PA","3",",I","2",",I","1",",I","","","","","","","19930821",",,I","","","25.4",",,I,21,","46.4",",,,I","",""
"PA000086033","1993-09","-20.23","-58.167","96.0","BAHIA NEGRA, PA","2",",I","1",",I","0",",I","","","","","","","19930913",",,I","","","6.4",",,I,13,","7.4",",,,I","",""
"PA000086033","1993-10","-20.23","-58.167","96.0","BAHIA NEGRA, PA","7",",I","7",",I","3",",I","","","","","","","19931021",",,I","","","74.8",",,I,21,","204.2",",,,I","",""
"PA000086033","1993-11","-20.23","-58.167","96.0","BAHIA NEGRA, PA","7",",I","6",",I","2",",I","","","","","","","19931101",",,I","","","27.4",",,I,01,","104.8",",,,I","",""
"PA000086033","1993-12","-20.23","-58.167","96.0","BAHIA NEGRA, PA","8",",I","6",",I","2",",I","","","","","","","19931229",",,I","","","43.0",",,I,29,","105.0",",,,I","",""
"PA000086033","1994-01","-20.23","-58.167","96.0","BAHIA NEGRA, PA","9",",I","6",",I","0",",I","","","","","","","19940125",",,I","","","22.2",",,I,25,","77.2",",,,I","",""
"PA000086033","1994-02","-20.23","-58.167","96.0","BAHIA NEGRA, PA","12",",I","10",",I","0",",I","","","","","","","19940222",",,I","","","19.0",",,I,22,","87.0",",,,I","",""
"PA000086033","1994-03","-20.23","-58.167","96.0","BAHIA NEGRA, PA","7",",I","6",",I","3",",I","","","","","","","19940329",",,I","","","35.0",",,I,29,","114.6",",,,I","",""
"PA000086033","1994-04","-20.23","-58.167","96.0","BAHIA NEGRA, PA","3",",I","2",",I","2",",I","","","","","","","19940417",",,I","","","41.3",",,I,17,","69.7",",,,I","",""
"PA000086033","1994-05","-20.23","-58.167","96.0","BAHIA NEGRA, PA","8",",I","7",",I","0",",I","","","","","","","19940528",",,I","","","20.8",",,I,28,","78.9",",,,I","",""
