,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES
26,PE000084752,2022-03,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20220331.0,",3,S",,,,,8.2,"3,S,31,",,,,,,,,,,,10.44,"3,,,S",,,,,,,,
27,PE000084752,2022-04,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20220404.0,",3,S",,,,,2.7,"3,S,04,",,,,,,,,,,,7.78,"3,,,S",,,,,,,,
28,PE000084752,2022-06,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20220610.0,",4,S",,,,,3.3,"4,S,10,",,,,,,,,,,,7.17,"4,,,S",,,,,,,,
29,PE000084752,2022-07,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20220714.0,",2,S",,,,,4.7,"2,S,14,",,,,,,,,,,,7.8,"2,,,S",,,,,,,,
30,PE000084752,2022-08,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20220822.0,",2,S",,,,,4.3,"2,S,22,",,,,,,,,,,,7.41,"2,,,S",,,,,,,,
31,PE000084752,2022-09,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20220930.0,",3,S",,,,,3.8,"3,S,30,",,,,,,,,,,,7.05,"3,,,S",,,,,,,,
32,PE000084752,2022-10,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20221012.0,",2,S",,,,,5.0,"2,S,12,",,,,,,,,,,,6.78,"2,,,S",,,,,,,,
33,PE000084752,2022-11,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"1,S",0.0,"1,S",,,,,,,20221111.0,",1,S",,,,,5.8,"1,S,11,",,,,,,,,,,,8.69,"1,,,S",,,,,,,,
34,PEM00084390,2021-01,-4.577,-81.254,86.0,"CAPITAN MONTES, PE",,,,,,,0.0,"3,",0.0,"3,S",,,,,,,20210116.0,",3,S",,,,,17.2,"3,S,16,",,,,,,,,,,,19.46,"3,,,S",,,,,,,,
35,PEM00084390,2022-07,-4.577,-81.254,86.0,"CAPITAN MONTES, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20220731.0,"+,5,S",,,,,13.2,"5,S,31,+",,,,,,,,,,,13.99,"5,,,S",,,,,,,,
36,PEM00084390,2022-11,-4.577,-81.254,86.0,"CAPITAN MONTES, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20221105.0,",3,S",,,,,12.8,"3,S,05,",,,,,,,,,,,14.77,"3,,,S",,,,,,,,
37,PEM00084390,2022-12,-4.577,-81.254,86.0,"CAPITAN MONTES, PE",,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20221231.0,",2,S",,,,,13.8,"2,S,31,",,,,,,,,,,,17.41,"2,,,S",,,,,,,,
38,PEM00084401,2021-09,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20210927.0,",3,S",,,,,15.3,"3,S,27,",,,,,,,,,,,16.26,"3,,,S",,,,,,,,
39,PEM00084401,2021-10,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20211014.0,",3,S",,,,,15.0,"3,S,14,",,,,,,,,,,,16.39,"3,,,S",,,,,,,,
40,PEM00084401,2021-11,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"1,S",0.0,"1,S",,,,,,,20211120.0,",1,S",,,,,14.9,"1,S,20,",,,,,,,,,,,17.39,"1,,,S",,,,,,,,
41,PEM00084401,2021-12,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20211201.0,",5,S",,,,,17.6,"5,S,01,",,,,,,,,,,,18.82,"5,,,S",,,,,,,,
42,PEM00084401,2022-01,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20220107.0,",5,S",,,,,18.8,"5,S,07,",,,,,,,,,,,20.63,"5,,,S",,,,,,,,
43,PEM00084401,2022-02,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"4,",0.0,"4,S",,,,,,,20220205.0,",4,S",,,,,20.0,"4,S,05,",,,,,,,,,,,21.5,"4,,,S",,,,,,,,
44,PEM00084401,2022-03,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20220331.0,",3,S",,,,,20.0,"3,S,31,",,,,,,,,,,,21.76,"3,,,S",,,,,,,,
45,PEM00084401,2022-04,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20220417.0,"+,3,S",,,,,17.6,"3,S,17,+",,,,,,,,,,,19.47,"3,,,S",,,,,,,,
46,PEM00084401,2022-06,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20220616.0,",5,S",,,,,14.3,"5,S,16,",,,,,,,,,,,16.33,"5,,,S",,,,,,,,
47,PEM00084401,2022-07,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20220730.0,",3,S",,,,,13.4,"3,S,30,",,,,,,,,,,,15.86,"3,,,S",,,,,,,,
48,PEM00084401,2022-08,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20220819.0,",2,S",,,,,14.8,"2,S,19,",,,,,,,,,,,15.66,"2,,,S",,,,,,,,
49,PEM00084401,2022-09,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20220927.0,",4,S",,,,,14.0,"4,S,27,",,,,,,,,,,,15.65,"4,,,S",,,,,,,,
50,PEM00084401,2022-10,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20221030.0,"+,4,S",,,,,14.4,"4,S,30,+",,,,,,,,,,,15.49,"4,,,S",,,,,,,,
51,PEM00084401,2022-11,-5.206,-80.616,35.4,"CAPITAN FAP GUILLERMO CONCHA, PE",,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20221115.0,"+,2,S",,,,,14.4,"2,S,15,+",,,,,,,,,,,17.24,"2,,,S",,,,,,,,
52,PEM00084452,2021-01,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20210104.0,",4,S",,,,,18.1,"4,S,04,",,,,,,,,,,,19.49,"4,,,S",,,,,,,,
53,PEM00084452,2021-03,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20210330.0,",5,S",,,,,19.2,"5,S,30,",,,,,,,,,,,21.09,"5,,,S",,,,,,,,
54,PEM00084452,2021-04,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20210424.0,",5,S",,,,,16.1,"5,S,24,",,,,,,,,,,,18.34,"5,,,S",,,,,,,,
55,PEM00084452,2021-08,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20210828.0,",5,S",,,,,15.2,"5,S,28,",,,,,,,,,,,16.02,"5,,,S",,,,,,,,
56,PEM00084452,2021-09,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20210928.0,"+,5,S",,,,,14.3,"5,S,28,+",,,,,,,,,,,15.26,"5,,,S",,,,,,,,
57,PEM00084452,2021-11,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"4,",0.0,"4,S",,,,,,,20211128.0,",4,S",,,,,15.0,"4,S,28,",,,,,,,,,,,16.26,"4,,,S",,,,,,,,
58,PEM00084452,2021-12,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"2,",0.0,"2,S",,,,,,,20211213.0,"+,2,S",,,,,16.1,"2,S,13,+",,,,,,,,,,,17.6,"2,,,S",,,,,,,,
59,PEM00084452,2022-02,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"2,",0.0,"2,S",,,,,,,20220202.0,",2,S",,,,,17.0,"2,S,02,",,,,,,,,,,,19.38,"2,,,S",,,,,,,,
60,PEM00084452,2022-03,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20220319.0,",5,S",,,,,18.0,"5,S,19,",,,,,,,,,,,19.93,"5,,,S",,,,,,,,
61,PEM00084452,2022-04,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20220426.0,",5,S",,,,,15.5,"5,S,26,",,,,,,,,,,,17.56,"5,,,S",,,,,,,,
62,PEM00084452,2022-07,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"1,",0.0,"1,S",,,,,,,20220730.0,"+,1,S",,,,,14.3,"1,S,30,+",,,,,,,,,,,15.28,"1,,,S",,,,,,,,
63,PEM00084452,2022-08,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"4,",0.0,"4,S",,,,,,,20220818.0,"+,4,S",,,,,14.5,"4,S,18,+",,,,,,,,,,,15.0,"4,,,S",,,,,,,,
64,PEM00084452,2022-10,-6.787,-79.828,29.6,"CAPT JOSE A QUINONES GONZALE, PE",,,,,,,0.0,"4,",0.0,"4,S",,,,,,,20221030.0,"+,4,S",,,,,14.0,"4,S,30,+",,,,,,,,,,,14.61,"4,,,S",,,,,,,,
65,PEM00084472,2021-10,-7.139,-78.489,2676.4,"GEN FAP ARMANDO REVOREDO IGLE, PE",20.0,"3,S",10.0,"3,S",0.0,"3,S",,,,,,,,,,,,,20211020.0,",3,S",,,,,20.1,"3,,S,20,",,,100.2,"3,,,S",,,,,,,,,,,,,,
66,PEM00084472,2022-03,-7.139,-78.489,2676.4,"GEN FAP ARMANDO REVOREDO IGLE, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20220318.0,",5,S",,,,,6.1,"5,S,18,",,,,,,,,,,,9.23,"5,,,S",,,,,,,,
67,PEM00084472,2022-07,-7.139,-78.489,2676.4,"GEN FAP ARMANDO REVOREDO IGLE, PE",,,,,,,0.0,"2,",0.0,"2,S",,,,,,,20220702.0,",2,S",,,,,2.0,"2,S,02,",,,,,,,,,,,5.35,"2,,,S",,,,,,,,
68,PEM00084472,2022-12,-7.139,-78.489,2676.4,"GEN FAP ARMANDO REVOREDO IGLE, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20221205.0,",5,S",,,,,0.5,"5,S,05,",,,,,,,,,,,8.12,"5,,,S",,,,,,,,
69,PEM00084628,2021-08,-12.022,-77.114,34.4,"JORGE CHAVEZ INTERNATIONAL, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20210830.0,",5,S",,,,,14.0,"5,S,30,",,,,,,,,,,,15.2,"5,,,S",,,,,,,,
70,PEM00084628,2022-02,-12.022,-77.114,34.4,"JORGE CHAVEZ INTERNATIONAL, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20220218.0,",5,S",,,,,17.8,"5,S,18,",,,,,,,,,,,19.35,"5,,,S",,,,,,,,
71,PEM00084658,2021-09,-12.614,-69.229,200.9,"PADRE ALDAMIZ, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20210911.0,",5,S",,,,,14.7,"5,S,11,",,,,,,,,,,,21.36,"5,,,S",,,,,,,,
72,PEM00084658,2022-01,-12.614,-69.229,200.9,"PADRE ALDAMIZ, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20220115.0,",3,S",,,,,19.8,"3,S,15,",,,,,,,,,,,22.66,"3,,,S",,,,,,,,
73,PEM00084658,2022-02,-12.614,-69.229,200.9,"PADRE ALDAMIZ, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20220207.0,",5,S",,,,,20.4,"5,S,07,",,,,,,,,,,,21.95,"5,,,S",,,,,,,,
74,PEM00084658,2022-03,-12.614,-69.229,200.9,"PADRE ALDAMIZ, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20220327.0,",5,S",,,,,18.3,"5,S,27,",,,,,,,,,,,21.38,"5,,,S",,,,,,,,
75,PEM00084658,2022-04,-12.614,-69.229,200.9,"PADRE ALDAMIZ, PE",,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20220402.0,",4,S",,,,,16.2,"4,S,02,",,,,,,,,,,,20.67,"4,,,S",,,,,,,,
76,PEM00084658,2022-07,-12.614,-69.229,200.9,"PADRE ALDAMIZ, PE",,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20220718.0,",2,S",,,,,15.1,"2,S,18,",,,,,,,,,,,19.33,"2,,,S",,,,,,,,
77,PEM00084658,2022-10,-12.614,-69.229,200.9,"PADRE ALDAMIZ, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20221001.0,",3,S",,,,,18.3,"3,S,01,",,,,,,,,,,,21.66,"3,,,S",,,,,,,,
78,PEM00084658,2022-11,-12.614,-69.229,200.9,"PADRE ALDAMIZ, PE",,,,,,,0.0,"4,",0.0,"4,S",,,,,,,20221101.0,",4,S",,,,,12.8,"4,S,01,",,,,,,,,,,,20.33,"4,,,S",,,,,,,,
79,PEM00084673,2021-01,-13.155,-74.204,2717.9,"CORONEL FAP ALFREDO MENDIVIL, PE",,,,,,,0.0,"3,",0.0,"3,S",,,,,,,20210104.0,",3,S",,,,,9.2,"3,S,04,",,,,,,,,,,,11.17,"3,,,S",,,,,,,,
80,PEM00084673,2021-04,-13.155,-74.204,2717.9,"CORONEL FAP ALFREDO MENDIVIL, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20210422.0,",5,S",,,,,7.8,"5,S,22,",,,,,,,,,,,10.5,"5,,,S",,,,,,,,
81,PEM00084673,2021-05,-13.155,-74.204,2717.9,"CORONEL FAP ALFREDO MENDIVIL, PE",,,,,,,0.0,"2,",0.0,"2,S",,,,,,,20210511.0,",2,S",,,,,6.5,"2,S,11,",,,,,,,,,,,9.4,"2,,,S",,,,,,,,
82,PEM00084673,2021-06,-13.155,-74.204,2717.9,"CORONEL FAP ALFREDO MENDIVIL, PE",,,,,,,0.0,"3,",0.0,"3,S",,,,,,,20210607.0,"+,3,S",,,,,7.4,"3,S,07,+",,,,,,,,,,,8.8,"3,,,S",,,,,,,,
83,PEM00084673,2021-09,-13.155,-74.204,2717.9,"CORONEL FAP ALFREDO MENDIVIL, PE",,,,,,,0.0,"4,",0.0,"4,S",,,,,,,20210906.0,"+,4,S",,,,,8.6,"4,S,06,+",,,,,,,,,,,10.81,"4,,,S",,,,,,,,
84,PEM00084673,2021-12,-13.155,-74.204,2717.9,"CORONEL FAP ALFREDO MENDIVIL, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20211226.0,",5,S",,,,,8.8,"5,S,26,",,,,,,,,,,,12.34,"5,,,S",,,,,,,,
85,PEM00084673,2022-02,-13.155,-74.204,2717.9,"CORONEL FAP ALFREDO MENDIVIL, PE",19.0,"2,S",15.0,"2,S",1.0,"2,S",,,,,,,,,,,,,20220220.0,",2,S",,,,,29.0,"2,,S,20,",,,158.3,"2,,,S",,,,,,,,,,,,,,
86,PEM00084673,2022-04,-13.155,-74.204,2717.9,"CORONEL FAP ALFREDO MENDIVIL, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20220414.0,",5,S",,,,,8.5,"5,S,14,",,,,,,,,,,,10.53,"5,,,S",,,,,,,,
87,PEM00084673,2022-07,-13.155,-74.204,2717.9,"CORONEL FAP ALFREDO MENDIVIL, PE",,,,,,,0.0,"3,",0.0,"3,S",,,,,,,20220703.0,",3,S",,,,,5.8,"3,S,03,",,,,,,,,,,,8.06,"3,,,S",,,,,,,,
88,PEM00084686,2021-01,-13.536,-71.939,3310.1,"TENIENTE ALEJANDRO VELASCO AS, PE",,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20210116.0,",4,S",,,,,6.5,"4,S,16,",,,,,,,,,,,8.3,"4,,,S",,,,,,,,
89,PEM00084686,2021-08,-13.536,-71.939,3310.1,"TENIENTE ALEJANDRO VELASCO AS, PE",,,,,,,0.0,"2,S",4.0,"2,S",,,,,,,20210805.0,",2,S",,,,,-1.3,"2,S,05,",,,,,,,,,,,2.22,"2,,,S",,,,,,,,
90,PEM00084686,2021-10,-13.536,-71.939,3310.1,"TENIENTE ALEJANDRO VELASCO AS, PE",,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20211001.0,",4,S",,,,,4.0,"4,S,01,",,,,,,,,,,,6.5,"4,,,S",,,,,,,,
91,PEM00084686,2021-11,-13.536,-71.939,3310.1,"TENIENTE ALEJANDRO VELASCO AS, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20211109.0,",3,S",,,,,5.6,"3,S,09,",,,,,,,,,,,8.19,"3,,,S",,,,,,,,
92,PEM00084686,2022-03,-13.536,-71.939,3310.1,"TENIENTE ALEJANDRO VELASCO AS, PE",,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20220302.0,",2,S",,,,,4.3,"2,S,02,",,,,,,,,,,,7.36,"2,,,S",,,,,,,,
93,PEM00084686,2022-06,-13.536,-71.939,3310.1,"TENIENTE ALEJANDRO VELASCO AS, PE",,,,,,,0.0,"5,S",11.0,"5,S",,,,,,,20220617.0,",5,S",,,,,-1.8,"5,S,17,",,,,,,,,,,,0.94,"5,,,S",,,,,,,,
94,PEM00084686,2022-07,-13.536,-71.939,3310.1,"TENIENTE ALEJANDRO VELASCO AS, PE",,,,,,,0.0,"3,S",11.0,"3,S",,,,,,,20220729.0,",3,S",,,,,-2.1,"3,S,29,",,,,,,,,,,,0.65,"3,,,S",,,,,,,,
95,PEM00084686,2022-08,-13.536,-71.939,3310.1,"TENIENTE ALEJANDRO VELASCO AS, PE",,,,,,,0.0,"5,S",2.0,"5,S",,,,,,,20220825.0,",5,S",,,,,-1.1,"5,S,25,",,,,,,,,,,,3.34,"5,,,S",,,,,,,,
96,PEM00084686,2022-09,-13.536,-71.939,3310.1,"TENIENTE ALEJANDRO VELASCO AS, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20220903.0,",5,S",,,,,1.6,"5,S,03,",,,,,,,,,,,5.1,"5,,,S",,,,,,,,
