,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES
13,AR000000011,2022-05,-30.267,-57.65,53.0,"MONTE CASEROS AERO, AR",,,,,,,,,,,,,0.0,"2,S",0.0,"2,S",20220531.0,",2,S",2.6,"2,S,31,",9.79,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AR000000011,2022-06,-30.267,-57.65,53.0,"MONTE CASEROS AERO, AR",,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",20220611.0,",5,S",0.3,"5,S,11,",6.36,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AR000000011,2022-07,-30.267,-57.65,53.0,"MONTE CASEROS AERO, AR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",20220717.0,",4,S",4.8,"4,S,17,",11.01,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AR000000011,2022-08,-30.267,-57.65,53.0,"MONTE CASEROS AERO, AR",,,,,,,,,,,,,0.0,"2,S",0.0,"2,S",20220819.0,",2,S",0.8,"2,S,19,",8.62,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AR000000011,2022-09,-30.267,-57.65,53.0,"MONTE CASEROS AERO, AR",,,,,,,,,,,,,0.0,"2,S",0.0,"2,S",20220910.0,",2,S",3.1,"2,S,10,",10.02,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AR000000011,2022-10,-30.267,-57.65,53.0,"MONTE CASEROS AERO, AR",,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",20221010.0,",5,S",7.3,"5,S,10,",12.82,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AR000000011,2022-11,-30.267,-57.65,53.0,"MONTE CASEROS AERO, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20221101.0,",1,S",6.0,"1,S,01,",16.25,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AR000000011,2022-12,-30.267,-57.65,53.0,"MONTE CASEROS AERO, AR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",20221228.0,",4,S",16.0,"4,S,28,",20.64,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AR000087007,2021-01,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20210122.0,",3,S",2.8,"3,S,22,",6.95,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AR000087007,2021-02,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",20210216.0,",5,S",3.4,"5,S,16,",8.37,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AR000087007,2021-03,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20210311.0,"+,1,S",5.0,"1,S,11,+",7.15,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AR000087007,2021-04,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,",S",6.0,",S",20210430.0,",,S",-3.6,",S,30,",4.19,",,,S",0.0,"4,S",10.0,"4,S",0.0,"4,S",20210411.0,",4,S",25.0,"4,S,11,",12.45,"4,S",20.72,"4,,,S",,,0.0,"4,S",,,149.8,"4,S",,,,,,
25,AR000087007,2021-05,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,",S",26.0,",S",20210531.0,",,S",-6.7,",S,31,",-1.93,",,,S",0.0,"3,S",4.0,"3,S",0.0,"3,S",20210506.0,",3,S",23.4,"3,S,06,",8.59,"3,S",19.12,"3,,,S",,,0.0,"3,S",,,268.5,"3,S",,,,,,
26,AR000087007,2021-06,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,",S",30.0,",S",20210630.0,",,S",-12.9,",S,30,",-7.67,",,,S",0.0,"5,S",0.0,"5,S",0.0,"5,S",20210621.0,",5,S",19.5,"5,S,21,",4.4,"5,S",16.47,"5,,,S",,,0.0,"5,S",,,346.0,"5,S",,,,,,
27,AR000087007,2021-07,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,",S",29.0,",S",20210701.0,",,S",-10.5,",S,01,",-5.36,",,,S",0.0,"3,S",1.0,"3,S",0.0,"3,S",20210712.0,",3,S",21.3,"3,S,12,",6.35,"3,S",18.06,"3,,,S",0.0,S,0.0,"3,S",,,330.6,"3,S",,,,,,
28,AR000087007,2021-08,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,",S",30.0,",S",20210807.0,",,S",-7.3,",S,07,",-3.75,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AR000087007,2021-09,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"1,S",5.0,"1,S",20210909.0,",1,S",-3.3,"1,S,09,",2.05,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AR000087007,2021-10,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"2,S",6.0,"2,S",20211004.0,",2,S",-3.0,"2,S,04,",2.26,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AR000087007,2021-11,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20211108.0,",1,S",3.3,"1,S,08,",7.35,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AR000087007,2021-12,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20211212.0,",1,S",2.9,"1,S,12,",8.13,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AR000087007,2022-01,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20220113.0,",1,S",4.7,"1,S,13,",8.04,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AR000087007,2022-02,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"2,S",0.0,"2,S",20220201.0,",2,S",4.4,"2,S,01,",7.79,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,AR000087007,2022-03,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20220328.0,",1,S",1.5,"1,S,28,",6.71,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,AR000087007,2022-04,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"1,S",15.0,"1,S",20220413.0,",1,S",-5.8,"1,S,13,",0.91,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AR000087007,2022-05,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"1,S",30.0,"1,S",20220523.0,",1,S",-8.0,"1,S,23,",-3.76,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,AR000087007,2022-06,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"2,S",26.0,"2,S",20220618.0,",2,S",-13.0,"2,S,18,",-6.67,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,AR000087007,2022-07,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"1,S",26.0,"1,S",20220718.0,",1,S",-10.7,"1,S,18,",-4.0,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,AR000087007,2022-08,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"2,S",28.0,"2,S",20220810.0,",2,S",-11.8,"2,S,10,",-5.71,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,AR000087007,2022-09,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,",S",25.0,",S",20220914.0,",,S",-7.8,",S,14,",-2.92,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,AR000087007,2022-10,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"2,S",14.0,"2,S",20221012.0,",2,S",-5.4,"2,S,12,",0.44,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,AR000087007,2022-11,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"1,S",6.0,"1,S",20221102.0,",1,S",-2.3,"1,S,02,",3.02,"1,,,S",0.0,"5,S",22.0,"5,S",0.0,"5,S",20221119.0,",5,S",26.0,"5,S,19,",12.83,"5,S",22.64,"5,,,S",,,0.0,"5,S",,,134.9,"5,S",,,,,,
44,AR000087007,2022-12,-22.1,-65.6,3479.0,"LA QUIACA OBSERVATO, AR",,,,,,,,,,,,,0.0,"2,S",0.0,"2,S",20221204.0,",2,S",1.3,"2,S,04,",6.56,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AR000087078,2021-01,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20210118.0,",3,S",15.5,"3,S,18,",22.7,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,AR000087078,2021-03,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",20210331.0,"+,4,S",15.6,"4,S,31,+",20.28,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,AR000087078,2021-04,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20210430.0,",3,S",9.6,"3,S,30,",17.81,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,AR000087078,2021-05,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20210524.0,",3,S",5.0,"3,S,24,",12.8,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,AR000087078,2021-06,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"1,S",2.0,"1,S",20210629.0,",1,S",-1.6,"1,S,29,",11.61,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,AR000087078,2021-07,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,",S",1.0,",S",20210729.0,",,S",0.0,",S,29,",10.35,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,AR000087078,2021-08,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20210813.0,",1,S",4.9,"1,S,13,",12.95,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,AR000087078,2021-09,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",20210910.0,",4,S",9.8,"4,S,10,",18.19,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,AR000087078,2021-10,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20211025.0,",3,S",12.5,"3,S,25,",18.25,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,AR000087078,2021-12,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",20211224.0,",5,S",18.4,"5,S,24,",22.13,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,AR000087078,2022-02,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",20220208.0,",4,S",17.0,"4,S,08,",22.07,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,AR000087078,2022-04,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20220415.0,",3,S",10.4,"3,S,15,",18.96,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,AR000087078,2022-05,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20220519.0,",1,S",2.8,"1,S,19,",11.79,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,AR000087078,2022-06,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"2,S",0.0,"2,S",20220612.0,",2,S",0.8,"2,S,12,",9.05,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,AR000087078,2022-07,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",20220717.0,",4,S",2.6,"4,S,17,",13.37,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,AR000087078,2022-08,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20220820.0,",1,S",2.0,"1,S,20,",13.15,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,AR000087078,2022-09,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"2,S",0.0,"2,S",20220905.0,",2,S",7.2,"2,S,05,",13.74,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,AR000087078,2022-10,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20221011.0,",3,S",9.4,"3,S,11,",16.64,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,AR000087078,2022-11,-24.7,-60.583,130.0,"LAS LOMITAS, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20221102.0,",3,S",9.4,"3,S,02,",17.5,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,AR000087129,2021-01,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",20210118.0,",4,S",12.2,"4,S,18,",19.96,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,AR000087129,2021-02,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",20210204.0,",5,S",15.2,"5,S,04,",19.78,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,AR000087129,2021-03,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"2,S",0.0,"2,S",20210328.0,",2,S",9.8,"2,S,28,",17.71,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,AR000087129,2021-04,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20210412.0,",1,S",7.0,"1,S,12,",16.08,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,AR000087129,2021-05,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"1,S",1.0,"1,S",20210524.0,",1,S",-0.8,"1,S,24,",7.13,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,AR000087129,2021-06,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"1,S",8.0,"1,S",20210629.0,",1,S",-6.4,"1,S,29,",4.09,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,AR000087129,2021-07,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,",S",14.0,",S",20210729.0,",,S",-4.7,",S,29,",2.55,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,AR000087129,2021-08,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"1,S",7.0,"1,S",20210814.0,",1,S",-2.3,"1,S,14,",4.7,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,AR000087129,2021-09,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20210910.0,",1,S",3.3,"1,S,10,",12.89,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,AR000087129,2021-10,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,",S",0.0,",S",20211004.0,",,S",3.1,",S,04,",14.65,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,AR000087129,2021-11,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20211106.0,",3,S",9.6,"3,S,06,",16.67,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,AR000087129,2021-12,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20211229.0,",1,S",17.4,"1,S,29,",21.98,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,AR000087129,2022-01,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"2,S",0.0,"2,S",20220129.0,",2,S",15.0,"2,S,29,",21.68,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,AR000087129,2022-02,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20220213.0,",3,S",9.9,"3,S,13,",18.94,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,AR000087129,2022-03,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20220331.0,",3,S",2.7,"3,S,31,",16.06,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,AR000087129,2022-04,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20220401.0,",1,S",3.8,"1,S,01,",12.89,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,AR000087129,2022-05,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"1,S",4.0,"1,S",20220519.0,",1,S",-2.7,"1,S,19,",8.18,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,AR000087129,2022-06,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"1,S",3.0,"1,S",20220618.0,",1,S",-2.4,"1,S,18,",3.99,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,AR000087129,2022-07,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"2,S",5.0,"2,S",20220717.0,",2,S",-5.1,"2,S,17,",5.28,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,AR000087129,2022-08,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,",S",4.0,",S",20220821.0,"+,,S",-3.0,",S,21,+",4.84,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,AR000087129,2022-09,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",20220922.0,",5,S",0.1,"5,S,22,",6.87,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,AR000087129,2022-10,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"2,S",0.0,"2,S",20221010.0,",2,S",3.6,"2,S,10,",13.35,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,AR000087129,2022-11,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20221101.0,",3,S",1.3,"3,S,01,",15.88,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,AR000087129,2022-12,-27.767,-64.3,200.0,"SANTIAGO DEL ESTERO, AR",,,,,,,,,,,,,0.0,"1,S",0.0,"1,S",20221218.0,",1,S",11.8,"1,S,18,",19.69,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,AR000087155,2021-04,-27.45,-59.05,53.0,"RESISTENCIA AERO, AR",,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",20210430.0,"+,5,S",7.9,"5,S,30,+",15.52,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,AR000087155,2022-05,-27.45,-59.05,53.0,"RESISTENCIA AERO, AR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",20220531.0,",4,S",2.4,"4,S,31,",9.56,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,AR000087155,2022-09,-27.45,-59.05,53.0,"RESISTENCIA AERO, AR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",20220904.0,",3,S",1.3,"3,S,04,",9.07,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,AR000087217,2021-01,-29.383,-66.817,438.0,"LA RIOJA AERO., AR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",20210113.0,",4,S",11.0,"4,S,13,",19.84,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,
